DATE      ,DIVIDENDS
2003-05-23,3.0
2003-06-30,8.2
2004-02-04,1.12
2004-02-04,1.68
2004-05-08,4.0
2004-10-23,9.2
2005-04-08,3.9
2005-04-21,4.0
2005-04-21,3.0
2005-10-19,3.0
2006-04-21,4.0
2006-07-08,3.6
2006-11-16,2.0
2007-04-26,5.0
2007-05-18,2.6
2007-08-20,10.0
2007-11-14,2.5
2008-05-15,4.0
2008-05-15,5.2
2008-08-20,18.35
2008-11-14,7.17
2010-12-11,4.29
2011-05-22,2.42
2011-05-22,3.9
2011-08-24,4.37
2011-11-15,3.36
2012-05-15,4.07
2012-05-15,3.56
2012-09-11,3.18
2012-10-08,1.52
2013-04-26,1.89
2013-04-26,0.43
2013-10-31,2.01
2013-12-08,2.03
2014-06-23,3.83
2014-06-23,2.43
2014-09-22,2.14
2014-11-25,54.46
2015-05-06,14.65
2015-05-06,12.81
2015-09-28,12.63
2015-12-21,13.17
2016-05-07,20.27
2016-05-07,8.25
2016-09-16,19.66
2016-12-13,24.96
2017-05-12,35.61
2017-06-20,24.44
2017-06-20,27.73
2017-09-26,22.28
