DATE      ,CLOSE_PRICE,VOLUME
2004-02-13,23.74      ,29866
2004-02-16,23.5       ,46930
2004-02-17,24.5       ,208507
2004-02-18,25.0       ,294038
2004-02-19,25.13      ,72028
2004-02-20,25.39      ,189778
2004-02-24,26.8       ,424578
2004-02-25,26.95      ,100912
2004-02-26,26.5       ,26936
2004-02-27,26.15      ,143520
2004-03-01,26.56      ,183527
2004-03-02,25.7       ,331156
2004-03-03,25.9       ,130555
2004-03-04,26.3       ,189965
2004-03-05,26.44      ,144484
2004-03-09,26.7       ,107806
2004-03-10,26.4       ,115953
2004-03-11,25.71      ,48450
2004-03-12,26.11      ,82716
2004-03-15,25.81      ,17531
2004-03-16,26.35      ,279182
2004-03-17,26.5       ,44952
2004-03-18,26.39      ,72660
2004-03-19,26.29      ,58581
2004-03-22,26.35      ,497061
2004-03-23,26.5       ,138896
2004-03-24,26.3       ,209812
2004-03-25,26.5       ,61211
2004-03-26,26.4       ,37061
2004-03-29,26.0       ,34673
2004-03-30,26.45      ,233437
2004-03-31,26.37      ,88703
2004-04-01,26.41      ,153452
2004-04-02,27.3       ,293032
2004-04-05,27.46      ,217734
2004-04-06,28.35      ,348969
2004-04-07,29.0       ,192923
2004-04-08,29.25      ,202333
2004-04-09,29.0       ,75109
2004-04-12,29.2       ,69135
2004-04-13,27.89      ,161198
2004-04-14,28.68      ,299323
2004-04-15,29.1       ,158739
2004-04-16,28.7       ,113137
2004-04-19,29.0       ,148126
2004-04-20,29.0       ,377547
2004-04-21,28.9       ,420018
2004-04-22,29.0       ,243040
2004-04-23,29.07      ,124159
2004-04-26,28.95      ,34198
2004-04-27,29.0       ,37067
2004-04-28,29.12      ,97957
2004-04-29,28.97      ,51682
2004-04-30,28.7       ,35152
2004-05-05,29.0       ,22490
2004-05-06,29.07      ,85338
2004-05-07,29.9       ,176396
2004-05-11,30.0       ,114791
2004-05-12,29.8       ,9271
2004-05-13,29.31      ,18630
2004-05-14,29.43      ,15270
2004-05-17,29.59      ,90507
2004-05-18,29.65      ,16014
2004-05-19,29.86      ,36674
2004-05-20,29.59      ,16362
2004-05-21,30.0       ,175104
2004-05-24,30.23      ,106781
2004-05-25,29.5       ,40289
2004-05-26,29.7       ,31786
2004-05-27,29.5       ,51351
2004-05-28,29.44      ,55558
2004-05-31,29.44      ,13626
2004-06-01,29.4       ,54751
2004-06-02,29.6       ,58033
2004-06-03,29.4       ,9362
2004-06-04,29.55      ,110983
2004-06-07,29.64      ,5871
2004-06-08,29.85      ,22580
2004-06-09,29.55      ,561
2004-06-10,29.4       ,7444
2004-06-11,29.77      ,14818
2004-06-15,29.6       ,73730
2004-06-16,29.65      ,10632
2004-06-17,29.7       ,9002
2004-06-18,29.6       ,13903
2004-06-21,29.5       ,31519
2004-06-22,29.6       ,27322
2004-06-23,29.45      ,53711
2004-06-24,29.7       ,106644
2004-06-25,29.5       ,101918
2004-06-28,29.4       ,5035
2004-06-29,29.45      ,53178
2004-06-30,29.4       ,59249
2004-07-01,29.3       ,71731
2004-07-02,29.4       ,27628
2004-07-05,29.2       ,5671
2004-07-06,29.0       ,80973
2004-07-07,29.35      ,69685
2004-07-08,29.5       ,6505
2004-07-09,29.3       ,15144
2004-07-12,29.6       ,1216
2004-07-13,29.9       ,12264
2004-07-14,29.74      ,3001
2004-07-15,29.79      ,36
2004-07-16,29.6       ,5738
2004-07-19,29.46      ,1980
2004-07-20,29.6       ,13438
2004-07-21,29.4       ,2325
2004-07-22,29.4       ,9227
2004-07-23,29.51      ,13080
2004-07-26,29.9       ,44013
2004-07-27,29.4       ,29809
2004-07-28,29.4       ,64279
2004-07-29,29.4       ,34312
2004-07-30,29.45      ,6094
2004-08-02,29.4       ,29869
2004-08-03,29.7       ,20308
2004-08-04,29.3       ,26569
2004-08-05,29.65      ,58484
2004-08-06,29.2       ,7126
2004-08-09,29.2       ,15566
2004-08-10,29.2       ,6454
2004-08-11,29.1       ,5452
2004-08-12,29.29      ,11694
2004-08-13,33.0       ,1014733
2004-08-16,31.3       ,159549
2004-08-17,31.21      ,129955
2004-08-18,30.8       ,36586
2004-08-19,30.3       ,14845
2004-08-20,29.86      ,17598
2004-08-23,30.0       ,54052
2004-08-24,30.5       ,39671
2004-08-25,30.0       ,4340
2004-08-26,29.86      ,14959
2004-08-27,29.95      ,173377
2004-08-30,29.85      ,35977
2004-08-31,29.81      ,24924
2004-09-01,30.29      ,143425
2004-09-02,30.0       ,240619
2004-09-03,30.39      ,40016
2004-09-06,30.0       ,55477
2004-09-07,30.1       ,45005
2004-09-08,30.22      ,138909
2004-09-09,30.0       ,6497
2004-09-10,30.0       ,7853
2004-09-13,30.09      ,22849
2004-09-14,29.91      ,13906
2004-09-15,29.6       ,33108
2004-09-16,29.68      ,27997
2004-09-17,29.5       ,14393
2004-09-20,29.81      ,110847
2004-09-21,29.99      ,82727
2004-09-22,29.93      ,18937
2004-09-23,30.1       ,25948
2004-09-24,30.05      ,52964
2004-09-27,30.24      ,29239
2004-09-28,29.9       ,61887
2004-09-29,30.0       ,12960
2004-09-30,29.97      ,24624
2004-10-01,30.0       ,35100
2004-10-04,30.88      ,500255
2004-10-05,30.86      ,660126
2004-10-06,31.25      ,192551
2004-10-07,30.8       ,399278
2004-10-08,31.0       ,198256
2004-10-11,31.02      ,154459
2004-10-12,31.25      ,847951
2004-10-13,31.4       ,49152
2004-10-14,31.02      ,85367
2004-10-15,31.25      ,121017
2004-10-18,31.2       ,37591
2004-10-19,31.4       ,42906
2004-10-20,31.25      ,511323
2004-10-21,31.66      ,41559
2004-10-22,34.52      ,649048
2004-10-25,33.51      ,114622
2004-10-26,33.6       ,31211
2004-10-27,33.5       ,66433
2004-10-28,33.65      ,499925
2004-10-29,33.5       ,215453
2004-11-01,33.04      ,410681
2004-11-02,33.5       ,362381
2004-11-03,33.64      ,251620
2004-11-04,33.6       ,114478
2004-11-05,33.89      ,69923
2004-11-09,33.6       ,107524
2004-11-10,33.88      ,86189
2004-11-11,34.19      ,365867
2004-11-12,34.01      ,286312
2004-11-15,34.38      ,171216
2004-11-16,37.0       ,351777
2004-11-17,39.35      ,691683
2004-11-18,38.0       ,486930
2004-11-19,37.5       ,240536
2004-11-22,38.2       ,91100
2004-11-23,36.89      ,31356
2004-11-24,36.26      ,30760
2004-11-25,35.07      ,74721
2004-11-26,35.48      ,62024
2004-11-29,35.11      ,111567
