TRADEDATE ,CLOSE  ,VOLUME
2006-10-11,       ,0
2006-10-12,       ,0
2006-10-13,       ,0
2006-10-16,       ,0
2006-10-17,       ,0
2006-10-18,       ,0
2006-10-19,       ,0
2006-10-20,834.93 ,18
2006-10-23,834.93 ,10
2006-10-24,801.0  ,1027
2006-10-25,765.0  ,2503
2006-10-26,735.0  ,1333
2006-10-27,750.0  ,2439
2006-10-30,711.1  ,392
2006-10-31,748.0  ,176
2006-11-01,730.0  ,1204
2006-11-02,723.01 ,94
2006-11-03,734.99 ,467
2006-11-07,744.0  ,493
2006-11-08,719.0  ,3431
2006-11-09,726.0  ,1754
2006-11-10,720.0  ,2162
2006-11-13,720.25 ,2567
2006-11-14,725.0  ,7046
2006-11-15,725.0  ,694
2006-11-16,722.0  ,762
2006-11-17,718.99 ,945
2006-11-20,717.0  ,339
2006-11-21,715.11 ,492
2006-11-22,715.5  ,700
2006-11-23,720.0  ,2268
2006-11-24,711.5  ,5315
2006-11-27,711.0  ,1875
2006-11-28,712.0  ,1639
2006-11-29,717.0  ,51
2006-11-30,733.0  ,626
2006-12-01,732.0  ,1641
2006-12-04,741.0  ,2334
2006-12-05,746.0  ,2236
2006-12-06,760.0  ,2344
2006-12-07,774.0  ,7452
2006-12-08,760.0  ,3554
2006-12-11,765.0  ,801
2006-12-12,761.1  ,618
2006-12-13,757.0  ,1430
2006-12-14,755.0  ,15
2006-12-15,764.99 ,635
2006-12-18,750.0  ,822
2006-12-19,759.0  ,2619
2006-12-20,759.99 ,1594
2006-12-21,748.01 ,3006
2006-12-22,735.0  ,851
2006-12-25,745.0  ,2682
2006-12-26,754.0  ,649
2006-12-27,763.0  ,990
2006-12-28,763.0  ,3230
2006-12-29,770.0  ,1673
2007-01-09,755.0  ,514
2007-01-10,762.9  ,606
2007-01-11,785.0  ,1194
2007-01-12,752.0  ,1798
2007-01-15,769.61 ,4247
2007-01-16,770.0  ,1131
2007-01-17,759.0  ,11394
2007-01-18,743.0  ,7349
2007-01-19,748.0  ,2056
2007-01-22,740.0  ,1496
2007-01-23,740.0  ,877
2007-01-24,740.0  ,2425
2007-01-25,750.0  ,2052
2007-01-26,749.9  ,277
2007-01-29,741.0  ,5937
2007-01-30,721.26 ,3667
2007-01-31,730.0  ,7410
2007-02-01,738.0  ,2874
2007-02-02,732.0  ,1770
2007-02-05,727.5  ,1260
2007-02-06,727.5  ,2556
2007-02-07,725.0  ,2283
2007-02-08,720.16 ,1416
2007-02-09,722.0  ,895
2007-02-12,719.01 ,2083
2007-02-13,718.0  ,3971
2007-02-14,716.0  ,2724
2007-02-15,716.0  ,3192
2007-02-16,713.6  ,2510
2007-02-19,704.0  ,9611
2007-02-20,698.01 ,4050
2007-02-21,699.0  ,1167
2007-02-22,701.0  ,1189
2007-02-26,701.11 ,2328
2007-02-27,690.0  ,2585
2007-02-28,688.0  ,2244
2007-03-01,669.99 ,1307
2007-03-02,674.9  ,140
2007-03-05,650.0  ,2808
2007-03-06,644.0  ,3493
2007-03-07,649.0  ,124
2007-03-09,660.0  ,2340
2007-03-12,655.0  ,6624
2007-03-13,651.1  ,1877
2007-03-14,643.0  ,1204
2007-03-15,650.0  ,3211
2007-03-16,650.0  ,499
2007-03-19,651.0  ,1302
2007-03-20,645.0  ,1436
2007-03-21,650.0  ,589
2007-03-22,651.98 ,1570
2007-03-23,651.8  ,697
2007-03-26,651.7  ,4169
2007-03-27,647.0  ,1397
2007-03-28,655.0  ,6392
2007-03-29,650.0  ,5348
2007-03-30,649.5  ,556
2007-04-02,646.0  ,619
2007-04-03,635.0  ,13712
2007-04-04,630.0  ,1388
2007-04-05,632.0  ,1187
2007-04-06,637.0  ,3616
2007-04-09,649.0  ,4673
2007-04-10,645.0  ,1663
2007-04-11,643.5  ,1008
2007-04-12,644.82 ,2446
2007-04-13,643.0  ,528
2007-04-16,641.0  ,3066
2007-04-17,622.0  ,2772
2007-04-18,620.0  ,1464
2007-04-19,615.0  ,2118
2007-04-20,620.01 ,2615
2007-04-23,617.99 ,2694
2007-04-24,615.0  ,3245
2007-04-25,616.99 ,12028
2007-04-26,608.0  ,1902
2007-04-27,602.02 ,645
2007-04-28,605.0  ,514
2007-05-02,610.0  ,1912
2007-05-03,610.0  ,1862
2007-05-04,609.0  ,1475
2007-05-07,638.5  ,3243
2007-05-08,634.9  ,2854
2007-05-10,619.0  ,1396
2007-05-11,619.89 ,2386
2007-05-14,609.0  ,2702
2007-05-15,608.0  ,295
2007-05-16,603.05 ,1335
2007-05-17,603.0  ,3262
2007-05-18,603.88 ,1535
2007-05-21,606.0  ,9359
2007-05-22,603.1  ,1106
2007-05-23,602.97 ,1075
2007-05-24,601.0  ,957
2007-05-25,597.0  ,240
2007-05-28,596.2  ,899
2007-05-29,594.0  ,4666
2007-05-30,594.49 ,1172
2007-05-31,600.0  ,586
2007-06-01,600.0  ,667
2007-06-04,595.5  ,1121
2007-06-05,592.5  ,196
2007-06-06,600.0  ,1381
2007-06-07,595.0  ,190
2007-06-08,597.5  ,263
2007-06-09,596.0  ,475
2007-06-13,596.99 ,137
2007-06-14,597.0  ,380
2007-06-15,597.0  ,593
2007-06-18,595.0  ,317
2007-06-19,597.0  ,4246
2007-06-20,595.0  ,6110
2007-06-21,595.0  ,2981
2007-06-22,594.0  ,2578
2007-06-25,599.0  ,6887
2007-06-26,605.25 ,1843
2007-06-27,609.9  ,360
2007-06-28,609.98 ,622
2007-06-29,606.0  ,6510
2007-07-02,607.0  ,255
2007-07-03,613.0  ,3521
2007-07-04,618.0  ,2190
2007-07-05,625.0  ,4512
2007-07-06,645.0  ,9172
2007-07-09,660.0  ,8646
2007-07-10,654.99 ,4277
2007-07-11,651.99 ,1485
2007-07-12,660.0  ,2083
2007-07-13,655.0  ,1225
2007-07-16,653.97 ,4242
2007-07-17,651.99 ,597
2007-07-18,645.0  ,2882
2007-07-19,640.0  ,2646
2007-07-20,644.99 ,8678
2007-07-23,639.9  ,309
2007-07-24,632.0  ,3283
2007-07-25,619.99 ,4038
2007-07-26,640.0  ,3953
2007-07-27,630.0  ,711
2007-07-30,630.0  ,54
2007-07-31,622.99 ,303
2007-08-01,629.99 ,927
2007-08-02,629.9  ,196
2007-08-03,626.0  ,582
2007-08-06,625.0  ,768
2007-08-07,622.0  ,379
2007-08-08,622.11 ,1022
2007-08-09,620.0  ,7263
2007-08-10,619.0  ,8442
2007-08-13,625.0  ,383
2007-08-14,615.0  ,2337
2007-08-15,618.0  ,3154
2007-08-16,617.0  ,1571
2007-08-17,611.98 ,1335
2007-08-20,618.0  ,128
2007-08-21,612.99 ,95
2007-08-22,608.0  ,3860
2007-08-23,609.49 ,3463
2007-08-24,600.0  ,832
2007-08-27,614.0  ,1202
2007-08-28,605.0  ,343
2007-08-29,602.5  ,369
2007-08-30,610.0  ,382
2007-08-31,619.99 ,80
2007-09-03,605.0  ,339
2007-09-04,606.0  ,796
2007-09-05,602.91 ,65
2007-09-06,605.0  ,602
2007-09-07,601.02 ,134
2007-09-10,606.62 ,3400
2007-09-11,600.0  ,1185
2007-09-12,599.9  ,1315
2007-09-13,591.0  ,1173
2007-09-14,599.99 ,758
2007-09-17,599.99 ,104
2007-09-18,602.97 ,1641
2007-09-19,600.0  ,685
2007-09-20,603.77 ,857
2007-09-21,602.99 ,52
2007-09-24,596.0  ,648
2007-09-25,593.39 ,12
2007-09-26,621.0  ,3867
2007-09-27,615.0  ,1789
2007-09-28,660.0  ,4139
2007-10-01,645.87 ,801
2007-10-02,622.5  ,583
2007-10-03,616.0  ,456
2007-10-04,618.99 ,730
2007-10-05,610.0  ,3679
2007-10-08,669.0  ,84892
2007-10-09,665.0  ,16937
2007-10-10,704.0  ,49501
2007-10-11,750.0  ,25455
2007-10-12,785.0  ,42507
2007-10-15,780.0  ,30029
2007-10-16,769.99 ,19467
2007-10-17,777.0  ,6533
2007-10-18,786.0  ,11072
2007-10-19,810.0  ,55920
2007-10-22,827.77 ,34901
2007-10-23,860.0  ,9888
2007-10-24,900.0  ,21330
2007-10-25,880.0  ,14511
2007-10-26,905.46 ,6995
2007-10-29,904.0  ,4359
2007-10-30,899.98 ,2315
2007-10-31,901.5  ,4727
2007-11-01,895.3  ,13335
2007-11-02,896.0  ,2233
2007-11-06,909.0  ,20109
2007-11-07,902.4  ,2100
2007-11-08,908.0  ,6488
2007-11-09,912.0  ,3637
2007-11-12,950.01 ,34062
2007-11-13,945.0  ,3243
2007-11-14,943.99 ,11114
2007-11-15,1000.0 ,10935
2007-11-16,1000.0 ,31213
