DATE      ,CLOSE_PRICE,VOLUME
2005-06-03,           ,0
2005-06-06,           ,0
2005-06-07,           ,0
2005-06-08,           ,0
2005-06-09,           ,0
2005-06-10,           ,0
2005-06-14,           ,0
2005-06-15,           ,0
2005-06-16,           ,0
2005-06-17,           ,0
2005-06-20,           ,0
2005-06-21,           ,0
2005-06-22,219.0      ,6400
2005-06-23,223.0      ,4300
2005-06-24,216.0      ,1800
2005-06-27,211.0      ,600
2005-06-28,208.0      ,4300
2005-06-29,209.0      ,1600
2005-06-30,208.0      ,600
2005-07-01,210.0      ,14800
2005-07-04,212.0      ,13200
2005-07-05,216.0      ,4600
2005-07-06,225.95     ,7700
2005-07-07,225.0      ,31600
2005-07-08,229.99     ,4400
2005-07-11,230.0      ,12200
2005-07-12,230.0      ,13000
2005-07-13,234.0      ,3700
2005-07-14,230.5      ,1300
2005-07-15,227.81     ,2200
2005-07-18,229.4      ,600
2005-07-19,231.0      ,300
2005-07-20,232.51     ,3400
2005-07-21,231.0      ,3600
2005-07-22,236.0      ,6600
2005-07-25,242.0      ,4000
2005-07-26,240.0      ,9400
2005-07-27,245.0      ,11500
2005-07-28,246.0      ,3200
2005-07-29,240.9      ,5700
2005-08-01,243.0      ,4700
2005-08-02,244.0      ,15000
2005-08-03,242.0      ,7400
2005-08-04,245.0      ,800
2005-08-05,243.0      ,10400
2005-08-08,239.0      ,8600
2005-08-09,243.2      ,4600
2005-08-10,243.7      ,700
2005-08-11,241.1      ,600
2005-08-12,243.0      ,1200
2005-08-15,238.5      ,6000
2005-08-16,245.0      ,3800
2005-08-17,245.1      ,3700
2005-08-18,248.0      ,5800
2005-08-19,246.0      ,8200
2005-08-22,248.0      ,5800
2005-08-23,244.81     ,1300
2005-08-24,244.0      ,300
2005-08-25,245.1      ,3600
2005-08-26,241.01     ,7500
2005-08-29,241.0      ,8100
2005-08-30,240.0      ,15300
2005-08-31,236.5      ,5400
2005-09-01,236.0      ,8300
2005-09-02,234.0      ,3100
2005-09-05,234.0      ,3500
2005-09-06,233.11     ,15200
2005-09-07,231.0      ,7800
2005-09-08,234.99     ,1200
2005-09-09,237.9      ,4200
2005-09-12,241.0      ,10200
2005-09-13,246.0      ,1600
2005-09-14,246.99     ,8200
2005-09-15,247.77     ,1400
2005-09-16,247.0      ,7100
2005-09-19,253.99     ,2000
2005-09-20,257.0      ,4700
2005-09-21,257.0      ,5400
2005-09-22,261.0      ,5300
2005-09-23,           ,0
2005-09-26,258.01     ,8500
2005-09-27,266.0      ,10100
2005-09-28,265.12     ,5300
2005-09-29,269.99     ,2400
2005-09-30,279.0      ,11800
2005-10-03,280.0      ,8300
2005-10-04,276.5      ,37900
2005-10-05,270.01     ,14800
2005-10-06,264.79     ,10800
2005-10-07,265.0      ,6500
2005-10-10,273.5      ,9100
2005-10-11,274.0      ,700
2005-10-12,263.51     ,4100
2005-10-13,267.0      ,800
2005-10-14,259.0      ,3000
2005-10-17,259.0      ,100
2005-10-18,258.01     ,14500
2005-10-19,260.0      ,24500
2005-10-20,252.12     ,500
2005-10-21,246.5      ,19900
2005-10-24,251.9      ,11800
2005-10-25,247.0      ,41400
2005-10-26,247.0      ,6600
2005-10-27,252.0      ,900
2005-10-28,251.99     ,1900
2005-10-31,253.8      ,1000
2005-11-01,256.0      ,4900
2005-11-02,263.85     ,6000
2005-11-03,263.0      ,8300
2005-11-07,266.0      ,5700
2005-11-08,264.5      ,6300
2005-11-09,261.5      ,15200
2005-11-10,259.5      ,13000
2005-11-11,259.5      ,8000
2005-11-14,265.0      ,1400
2005-11-15,271.0      ,13300
2005-11-16,266.8      ,5400
2005-11-17,269.0      ,8400
2005-11-18,270.0      ,5700
2005-11-21,270.0      ,9900
2005-11-22,271.0      ,12200
2005-11-23,272.4      ,8700
2005-11-24,270.05     ,12300
2005-11-25,273.7      ,3000
2005-11-28,271.0      ,9000
2005-11-29,269.5      ,13400
2005-11-30,264.1      ,4700
2005-12-01,272.95     ,15600
2005-12-02,280.0      ,15300
2005-12-05,279.0      ,9600
2005-12-06,279.89     ,6400
2005-12-07,297.0      ,17400
2005-12-08,296.0      ,8300
2005-12-09,292.25     ,22700
2005-12-12,293.49     ,9100
2005-12-13,296.4      ,6700
2005-12-14,290.8      ,4202
2005-12-15,287.05     ,1538
2005-12-16,285.0      ,17798
2005-12-19,280.55     ,4426
2005-12-20,284.0      ,3436
2005-12-21,285.0      ,3966
2005-12-22,283.0      ,6881
2005-12-23,286.9      ,4053
2005-12-26,287.0      ,8017
2005-12-27,288.0      ,12388
2005-12-28,287.0      ,10628
2005-12-29,286.0      ,6566
2005-12-30,289.0      ,165
2006-01-10,292.01     ,7313
2006-01-11,305.01     ,71353
2006-01-12,305.0      ,53147
2006-01-13,304.5      ,19142
2006-01-16,304.1      ,14963
2006-01-17,300.51     ,18827
2006-01-18,305.0      ,19619
2006-01-19,317.47     ,36913
2006-01-20,319.46     ,19938
2006-01-23,314.5      ,20835
2006-01-24,315.0      ,6328
2006-01-25,313.0      ,35170
2006-01-26,314.5      ,9619
2006-01-27,336.0      ,63786
2006-01-30,334.8      ,29946
2006-01-31,332.0      ,26043
2006-02-01,341.0      ,24801
2006-02-02,347.0      ,26890
2006-02-03,343.5      ,9955
2006-02-06,353.0      ,90896
2006-02-07,364.99     ,95519
2006-02-08,345.0      ,180989
2006-02-09,355.75     ,56936
2006-02-10,354.0      ,24677
2006-02-13,355.0      ,28343
2006-02-14,348.0      ,26665
2006-02-15,347.02     ,23579
2006-02-16,346.7      ,17955
2006-02-17,350.11     ,15285
2006-02-20,348.0      ,39407
2006-02-21,350.0      ,52580
2006-02-22,357.0      ,30184
2006-02-26,362.45     ,36357
2006-02-27,361.0      ,58302
2006-02-28,358.5      ,118377
2006-03-01,362.35     ,61841
2006-03-02,369.5      ,6454
2006-03-03,382.0      ,29550
2006-03-06,412.0      ,79569
2006-03-07,386.49     ,93818
2006-03-09,371.0      ,44704
2006-03-10,370.02     ,24422
2006-03-13,372.04     ,27641
2006-03-14,363.9      ,11790
2006-03-15,364.0      ,5797
2006-03-16,360.0      ,22526
2006-03-17,374.0      ,38227
2006-03-20,370.83     ,17717
2006-03-21,373.9      ,6651
2006-03-22,375.0      ,11748
2006-03-23,386.0      ,31381
2006-03-24,383.0      ,15355
2006-03-27,384.0      ,18537
2006-03-28,379.8      ,15385
2006-03-29,376.0      ,4837
2006-03-30,400.0      ,132060
2006-03-31,383.1      ,121820
2006-04-03,396.7      ,41837
2006-04-04,392.99     ,15256
2006-04-05,398.2      ,38429
2006-04-06,391.0      ,18032
2006-04-07,392.0      ,31228
2006-04-10,390.1      ,40791
2006-04-11,379.88     ,50745
2006-04-12,376.98     ,63475
2006-04-13,368.39     ,55888
2006-04-14,366.5      ,44571
2006-04-17,365.4      ,42498
2006-04-18,375.0      ,53225
2006-04-19,381.7      ,50872
2006-04-20,370.0      ,50096
2006-04-21,369.5      ,27482
2006-04-24,370.0      ,9572
2006-04-25,365.0      ,20944
2006-04-26,374.99     ,37953
2006-04-27,373.0      ,48493
2006-04-28,376.76     ,15855
2006-05-02,374.5      ,8503
2006-05-03,371.99     ,35404
