DATE      ,CLOSE_PRICE       ,VOLUME
2005-09-14,8.44              ,559500
2005-09-15,3.34              ,2063700
2005-09-16,1.7               ,8096100
2005-09-19,1.51              ,8828300
2005-09-20,1.53              ,9242600
2005-09-21,1.83              ,10639100
2005-09-22,1.77              ,13503800
2005-09-23,1.87              ,5772700
2005-09-26,1.77              ,10511000
2005-09-27,1.88              ,9113500
2005-09-28,1.87              ,9998700
2005-09-29,1.86              ,5393000
2005-09-30,1.84              ,3514900
2005-10-03,1.86              ,8676700
2005-10-04,1.87              ,5779100
2005-10-05,1.79              ,3861000
2005-10-06,1.68              ,3879900
2005-10-07,1.69              ,2122100
2005-10-10,1.74              ,3274000
2005-10-11,1.76              ,2895800
2005-10-12,1.7               ,4361100
2005-10-13,1.7               ,3231300
2005-10-14,1.68              ,2932100
2005-10-17,1.69              ,997900
2005-10-18,1.69              ,1462500
2005-10-19,1.64              ,2651600
2005-10-20,1.64              ,1926000
2005-10-21,1.67              ,3871100
2005-10-24,1.72              ,2024100
2005-10-25,1.7               ,1779500
2005-10-26,1.72              ,2309600
2005-10-27,1.69              ,727800
2005-10-28,1.69              ,492900
2005-10-31,1.7               ,616700
2005-11-01,1.72              ,1123400
2005-11-02,1.73              ,2443600
2005-11-03,1.71              ,4609300
2005-11-07,1.71              ,557800
2005-11-08,1.71              ,1497200
2005-11-09,1.72              ,2830800
2005-11-10,1.67              ,2615100
2005-11-11,1.69              ,19442300
2005-11-14,1.71              ,774000
2005-11-15,1.69              ,1240500
2005-11-16,1.66              ,7171800
2005-11-17,1.65              ,16813700
2005-11-18,1.65              ,7072900
2005-11-21,1.65              ,2705300
2005-11-22,1.62              ,3305100
2005-11-23,1.61              ,2348800
2005-11-24,1.6               ,2247200
2005-11-25,1.62              ,1127500
2005-11-28,1.64              ,46986200
2005-11-29,1.65              ,18660100
2005-11-30,1.64              ,2610700
2005-12-01,1.64              ,29386200
2005-12-02,1.6               ,41340400
2005-12-05,1.6               ,5659300
2005-12-06,1.6               ,3228200
2005-12-07,1.63              ,2464500
2005-12-08,1.63              ,2019100
2005-12-09,1.64              ,26107300
2005-12-12,1.65              ,5415900
2005-12-13,1.65              ,7484100
2005-12-14,1.6369999999999998,2415900
2005-12-15,1.645             ,3859000
2005-12-16,1.62              ,15015600
2005-12-19,1.6280000000000001,946700
2005-12-20,1.625             ,980700
2005-12-21,1.633             ,1110500
2005-12-22,1.6280000000000001,2870600
2005-12-23,1.618             ,1314700
2005-12-26,1.6269999999999998,527000
2005-12-27,1.6269999999999998,1504400
2005-12-28,1.6130000000000002,1263800
2005-12-29,1.63              ,856900
2005-12-30,1.67              ,687300
2006-01-10,1.62              ,42063800
2006-01-11,1.608             ,18432700
2006-01-12,1.6               ,18969900
2006-01-13,1.6               ,23891900
2006-01-16,1.6               ,4371600
2006-01-17,1.58              ,2880300
2006-01-18,1.565             ,5565500
2006-01-19,1.565             ,2941300
2006-01-20,1.599             ,5784600
2006-01-23,1.595             ,1146800
2006-01-24,1.598             ,3083600
2006-01-25,1.568             ,16556700
2006-01-26,1.567             ,10080500
2006-01-27,1.569             ,9697600
2006-01-30,1.5619999999999998,15413400
2006-01-31,1.57              ,6662900
2006-02-01,1.57              ,7205400
2006-02-02,1.57              ,588900
2006-02-03,1.56              ,751500
2006-02-06,1.569             ,1464900
2006-02-07,1.575             ,886700
2006-02-08,1.57              ,13387100
2006-02-09,1.569             ,6278500
2006-02-10,1.8               ,72708200
2006-02-13,1.839             ,51257900
2006-02-14,1.876             ,41179600
2006-02-15,1.88              ,22741100
2006-02-16,1.931             ,21413800
2006-02-17,1.97              ,10911100
2006-02-20,1.96              ,10895700
2006-02-21,1.899             ,15076100
2006-02-22,1.9               ,7619500
2006-02-26,1.923             ,2484800
2006-02-27,1.98              ,22953100
2006-02-28,1.88              ,11762100
2006-03-01,1.95              ,8535200
2006-03-02,1.979             ,4663900
2006-03-03,1.9480000000000002,2191900
2006-03-06,1.95              ,439800
2006-03-07,1.91              ,5071500
2006-03-09,1.879             ,3939700
2006-03-10,1.9080000000000001,1440500
2006-03-13,1.935             ,851800
2006-03-14,1.97              ,14078500
2006-03-15,1.99              ,2991700
2006-03-16,2.01              ,645800
2006-03-17,2.06              ,9346900
2006-03-20,2.049             ,1676200
2006-03-21,2.0580000000000003,2848700
2006-03-22,2.129             ,4703500
2006-03-23,2.296             ,15219900
2006-03-24,2.3080000000000003,6659900
2006-03-27,2.293             ,4316900
2006-03-28,2.281             ,6072000
2006-03-29,2.225             ,6111400
2006-03-30,2.262             ,5039000
2006-03-31,2.289             ,5313400
2006-04-03,2.35              ,6259200
2006-04-04,2.324             ,6973600
2006-04-05,2.289             ,8414300
2006-04-06,2.3               ,1167600
2006-04-07,2.278             ,6528000
2006-04-10,2.267             ,8000200
2006-04-11,2.252             ,6700200
2006-04-12,2.22              ,12031900
2006-04-13,2.22              ,7535600
2006-04-14,2.234             ,5411900
2006-04-17,2.22              ,7451100
2006-04-18,2.23              ,6267200
2006-04-19,2.25              ,7079000
2006-04-20,2.222             ,9093200
2006-04-21,2.24              ,4771600
2006-04-24,2.249             ,10034700
2006-04-25,2.21              ,13391900
