DATE      ,CLOSE_PRICE,VOLUME
2006-01-23,218.89     ,5120765
2006-01-24,224.0      ,8983192
2006-01-25,228.38     ,15480374
2006-01-26,224.47     ,7588759
2006-01-27,228.75     ,12729718
2006-01-30,216.0      ,17251930
2006-01-31,219.02     ,11737232
2006-02-01,223.99     ,8564735
2006-02-02,221.5      ,5446544
2006-02-03,221.01     ,5387994
2006-02-06,220.45     ,6375694
2006-02-07,220.5      ,8270432
2006-02-08,221.0      ,9434350
2006-02-09,222.0      ,9777969
2006-02-10,222.0      ,5918603
2006-02-13,219.95     ,7879015
2006-02-14,219.89     ,3791527
2006-02-15,219.78     ,3549036
2006-02-16,220.0      ,4514626
2006-02-17,226.5      ,19229246
2006-02-20,228.2      ,8384036
2006-02-21,225.0      ,10824604
2006-02-22,225.38     ,6007484
2006-02-26,227.38     ,8903738
2006-02-27,225.21     ,9320121
2006-02-28,218.79     ,11439450
2006-03-01,217.98     ,11094561
2006-03-02,218.98     ,7795473
2006-03-03,228.9      ,28820558
2006-03-06,231.99     ,25733617
2006-03-07,223.86     ,18790992
2006-03-09,219.2      ,16448058
2006-03-10,217.11     ,12525170
2006-03-13,223.3      ,17030233
2006-03-14,220.35     ,15283417
2006-03-15,221.23     ,10883237
2006-03-16,220.7      ,7945604
2006-03-17,229.3      ,23128620
2006-03-20,225.75     ,17079872
2006-03-21,224.4      ,13182623
2006-03-22,225.19     ,6760618
2006-03-23,226.5      ,16576205
2006-03-24,229.9      ,11702463
2006-03-27,231.63     ,22916201
2006-03-28,228.45     ,12231229
2006-03-29,228.62     ,9397059
2006-03-30,230.4      ,16678143
2006-03-31,230.15     ,19236669
2006-04-03,230.5      ,9704037
2006-04-04,231.52     ,15160396
2006-04-05,238.5      ,30501089
2006-04-06,243.3      ,31903755
2006-04-07,250.29     ,45204163
2006-04-10,268.7      ,65493539
2006-04-11,262.5      ,66831457
2006-04-12,264.7      ,38992063
2006-04-13,263.49     ,29093190
2006-04-14,267.9      ,19565698
2006-04-17,269.45     ,33981140
2006-04-18,271.69     ,39555250
2006-04-19,278.29     ,51509915
2006-04-20,276.11     ,61824805
2006-04-21,280.19     ,32991840
2006-04-24,286.97     ,39985881
2006-04-25,285.0      ,30560159
2006-04-26,309.3      ,98647556
2006-04-27,304.7      ,93593427
2006-04-28,310.25     ,42900921
2006-05-02,320.3      ,36980676
2006-05-03,323.36     ,39795108
2006-05-04,332.48     ,57170522
2006-05-05,336.35     ,51563291
2006-05-06,350.25     ,39869234
2006-05-10,331.8      ,101044476
2006-05-11,334.92     ,130412456
2006-05-12,320.2      ,55476727
2006-05-15,301.99     ,79874855
2006-05-16,306.99     ,99973618
2006-05-17,292.2      ,94682915
2006-05-18,283.5      ,99385518
2006-05-19,273.5      ,53852766
2006-05-22,240.68     ,103919010
2006-05-23,267.0      ,132608501
2006-05-24,258.49     ,103109250
2006-05-25,272.4      ,104671194
2006-05-26,291.3      ,113378262
2006-05-29,282.49     ,89664823
2006-05-30,282.9      ,141762733
2006-05-31,283.0      ,134684524
2006-06-01,287.99     ,68846115
2006-06-02,298.9      ,91152825
2006-06-05,297.86     ,58811025
2006-06-06,277.66     ,66662656
2006-06-07,280.4      ,88882785
2006-06-08,251.5      ,92187770
2006-06-09,255.67     ,65303392
2006-06-13,228.0      ,66468479
2006-06-14,244.0      ,109212922
2006-06-15,257.88     ,78479541
2006-06-16,258.17     ,102419983
2006-06-19,259.99     ,63138498
2006-06-20,264.0      ,57599999
2006-06-21,264.0      ,61222244
2006-06-22,259.15     ,54188778
2006-06-23,260.0      ,31641356
2006-06-26,257.9      ,25042926
2006-06-27,266.22     ,46159786
2006-06-28,266.31     ,44203361
2006-06-29,275.5      ,66624517
2006-06-30,281.83     ,74464570
2006-07-03,285.65     ,33746291
2006-07-04,286.8      ,31216071
2006-07-05,273.21     ,42190688
2006-07-06,285.0      ,58249850
2006-07-07,277.85     ,55969281
2006-07-10,280.0      ,23701179
2006-07-11,274.55     ,25861566
2006-07-12,277.01     ,33239478
2006-07-13,261.6      ,67389730
2006-07-14,265.0      ,76760356
2006-07-17,258.12     ,35190411
2006-07-18,262.97     ,43166171
2006-07-19,271.2      ,44901065
2006-07-20,268.3      ,47245060
2006-07-21,266.88     ,30798464
2006-07-24,272.0      ,29632615
2006-07-25,269.77     ,36061136
2006-07-26,270.75     ,19531276
2006-07-27,280.8      ,58965455
2006-07-28,279.55     ,42125392
2006-07-31,277.88     ,27045201
2006-08-01,275.66     ,39404395
2006-08-02,280.51     ,24390754
2006-08-03,284.89     ,48640970
2006-08-04,290.99     ,51377623
2006-08-07,294.49     ,51409438
2006-08-08,294.2      ,63939653
2006-08-09,304.82     ,79495968
2006-08-10,306.05     ,100646546
2006-08-11,313.45     ,75709734
2006-08-14,312.1      ,74819781
2006-08-15,312.4      ,107687746
2006-08-16,312.99     ,81026592
2006-08-17,304.68     ,49324506
2006-08-18,292.4      ,94323796
2006-08-21,300.15     ,72284489
2006-08-22,307.9      ,56234892
2006-08-23,309.17     ,72545071
2006-08-24,308.1      ,53174519
2006-08-25,313.29     ,50896586
2006-08-28,311.2      ,24132777
2006-08-29,310.0      ,76036879
2006-08-30,312.3      ,45231155
2006-08-31,313.45     ,82129714
2006-09-01,309.19     ,54793135
2006-09-04,311.2      ,36094154
2006-09-05,310.65     ,44609779
2006-09-06,302.2      ,57601451
2006-09-07,294.98     ,59256338
2006-09-08,298.01     ,37000798
2006-09-11,284.44     ,59082003
2006-09-12,289.9      ,59450735
2006-09-13,293.99     ,53771257
2006-09-14,292.18     ,51381981
2006-09-15,291.75     ,37918103
2006-09-18,293.82     ,26356093
2006-09-19,294.75     ,26921629
2006-09-20,288.01     ,33145235
2006-09-21,280.8      ,45512389
2006-09-22,272.0      ,63788460
2006-09-25,262.1      ,62539050
2006-09-26,273.91     ,48136990
2006-09-27,276.61     ,64870683
2006-09-28,289.7      ,69262795
2006-09-29,288.0      ,50481747
2006-10-02,290.1      ,35796936
2006-10-03,282.3      ,40633652
2006-10-04,286.19     ,69142773
2006-10-05,295.69     ,74631721
2006-10-06,293.2      ,48031946
2006-10-09,300.18     ,53007567
2006-10-10,294.82     ,68330888
2006-10-11,295.49     ,52317157
2006-10-12,290.6      ,51281191
2006-10-13,298.25     ,73138326
2006-10-16,297.78     ,37186734
2006-10-17,294.0      ,59328469
2006-10-18,299.69     ,65391960
2006-10-19,300.1      ,45647296
2006-10-20,297.2      ,42444781
2006-10-23,293.69     ,32348093
2006-10-24,293.05     ,29523122
2006-10-25,296.25     ,33586863
2006-10-26,291.5      ,52723088
2006-10-27,286.13     ,54069739
2006-10-30,277.28     ,39668535
2006-10-31,282.19     ,55362265
2006-11-01,291.0      ,47393945
2006-11-02,287.99     ,44510328
2006-11-03,291.0      ,24712166
2006-11-07,292.74     ,31405051
2006-11-08,289.7      ,29978754
2006-11-09,292.8      ,30375551
2006-11-10,291.99     ,33007943
2006-11-13,290.97     ,28970576
2006-11-14,293.53     ,33195360
2006-11-15,294.0      ,45651258
2006-11-16,293.64     ,22893061
2006-11-17,288.03     ,47863893
2006-11-20,285.69     ,27705223
2006-11-21,291.4      ,39614638
2006-11-22,288.01     ,51084810
2006-11-23,289.7      ,20876104
2006-11-24,289.99     ,21186995
2006-11-27,288.75     ,21695111
2006-11-28,295.19     ,59291348
2006-11-29,305.45     ,110661680
2006-11-30,305.5      ,119915352
2006-12-01,303.49     ,80188886
2006-12-04,304.99     ,46180979
2006-12-05,308.0      ,65160864
2006-12-06,308.7      ,53555752
2006-12-07,307.8      ,39749337
2006-12-08,305.7      ,36636094
2006-12-11,301.69     ,52872121
2006-12-12,297.1      ,69497477
2006-12-13,297.8      ,60471215
2006-12-14,303.18     ,51904937
2006-12-15,304.7      ,59108119
2006-12-18,302.2      ,28777645
2006-12-19,299.5      ,45067973
2006-12-20,301.5      ,35226877
2006-12-21,305.0      ,51305217
2006-12-22,303.6      ,42506195
2006-12-25,300.7      ,22231928
2006-12-26,299.68     ,31599604
2006-12-27,301.66     ,34961848
2006-12-28,302.33     ,41457700
2006-12-29,302.89     ,17479183
2007-01-09,286.68     ,38499641
2007-01-10,291.77     ,64264879
2007-01-11,292.0      ,46990840
2007-01-12,287.5      ,33092243
2007-01-15,294.12     ,32278817
2007-01-16,287.0      ,49757661
2007-01-17,279.19     ,55176669
2007-01-18,278.77     ,47477838
2007-01-19,285.44     ,39546501
2007-01-22,288.89     ,39481750
2007-01-23,285.7      ,28531320
2007-01-24,287.59     ,34896304
2007-01-25,290.2      ,37421686
2007-01-26,286.8      ,25216746
