TRADEDATE ,CLOSE ,VOLUME
2010-05-11,227.99,4295
2010-05-12,196.75,6795
2010-05-13,195.0 ,2501
2010-05-14,200.0 ,12679
2010-05-17,191.0 ,277
2010-05-18,197.97,95
2010-05-19,197.97,1
2010-05-20,185.0 ,2863
2010-05-21,180.0 ,312
2010-05-24,      ,0
2010-05-25,184.0 ,115
2010-05-26,184.01,133
2010-05-27,175.0 ,581
2010-05-28,186.87,45
2010-05-31,188.89,34
2010-06-01,180.01,250
2010-06-02,178.51,22
2010-06-03,      ,0
2010-06-04,      ,0
2010-06-07,175.0 ,1015
2010-06-08,      ,0
2010-06-09,191.0 ,29110
2010-06-10,185.0 ,15000
2010-06-11,185.0 ,755
2010-06-15,177.0 ,3
2010-06-16,180.0 ,2210
2010-06-17,182.0 ,1400
2010-06-18,182.0 ,200
2010-06-21,191.01,80710
2010-06-22,      ,0
2010-06-23,190.0 ,100
2010-06-24,177.5 ,105
2010-06-25,      ,0
2010-06-28,      ,0
2010-06-29,175.0 ,21
2010-06-30,187.0 ,1
2010-07-01,      ,0
2010-07-02,      ,0
2010-07-05,      ,0
2010-07-06,      ,0
2010-07-07,      ,0
2010-07-08,      ,0
2010-07-09,      ,0
2010-07-12,233.97,1
2010-07-13,193.99,96
2010-07-14,198.99,55
2010-07-15,      ,0
2010-07-16,198.99,53
2010-07-19,258.99,122
2010-07-20,258.99,18
2010-07-21,186.0 ,4070
2010-07-22,184.0 ,641
2010-07-23,183.17,670
2010-07-26,185.0 ,106
2010-07-27,183.17,758
2010-07-28,      ,0
2010-07-29,181.0 ,561
2010-07-30,185.0 ,40101
2010-08-02,184.98,16
2010-08-03,185.99,2535
2010-08-04,185.0 ,285
2010-08-05,186.0 ,31
2010-08-06,186.0 ,2306
2010-08-09,188.0 ,30
2010-08-10,185.03,1
2010-08-11,183.2 ,336
2010-08-12,183.0 ,201
2010-08-13,188.0 ,960
2010-08-16,182.0 ,725
2010-08-17,187.97,717
2010-08-18,182.02,7
2010-08-19,189.0 ,921
2010-08-20,186.9 ,40020
2010-08-23,188.9 ,6
2010-08-24,198.9 ,4
2010-08-25,181.36,2744
2010-08-26,179.42,117
2010-08-27,183.22,131
2010-08-30,186.91,13
2010-08-31,185.0 ,11
2010-09-01,181.0 ,1496
2010-09-02,181.0 ,58
2010-09-03,181.0 ,7
2010-09-06,180.0 ,310
2010-09-07,179.63,7
2010-09-08,178.2 ,2726
2010-09-09,183.18,31
2010-09-10,180.02,1
2010-09-13,175.75,1212
2010-09-14,177.89,1517
2010-09-15,176.12,70
2010-09-16,168.8 ,2370
2010-09-17,      ,0
2010-09-20,173.0 ,4
2010-09-21,172.95,86
2010-09-22,175.88,42
2010-09-23,      ,0
2010-09-24,175.0 ,38
2010-09-27,      ,0
2010-09-28,165.0 ,631
2010-09-29,169.93,88
2010-09-30,174.38,410
2010-10-01,169.0 ,874
2010-10-04,172.6 ,1
2010-10-05,167.0 ,5855
2010-10-06,160.02,75
2010-10-07,160.01,601
2010-10-08,      ,0
2010-10-11,161.9 ,301
2010-10-12,160.08,25
2010-10-13,165.0 ,185
2010-10-14,161.05,397
2010-10-15,169.0 ,32758
2010-10-18,167.0 ,78
2010-10-19,167.0 ,812
2010-10-20,      ,0
2010-10-21,169.0 ,23570
2010-10-22,170.0 ,3001
2010-10-25,173.0 ,1
2010-10-26,174.41,5518
2010-10-27,176.15,4811
2010-10-28,177.0 ,56
2010-10-29,179.9 ,154
2010-11-01,180.0 ,5632
2010-11-02,182.5 ,856
2010-11-03,186.0 ,55707
2010-11-08,194.94,1238
2010-11-09,194.95,127
2010-11-10,193.89,121
2010-11-11,188.03,600
2010-11-12,199.43,3503
2010-11-13,197.13,635
2010-11-15,205.0 ,2018
2010-11-16,205.0 ,1594
2010-11-17,205.27,1262
2010-11-18,217.0 ,3068
2010-11-19,213.1 ,616
2010-11-22,212.16,425
2010-11-23,207.0 ,1252
2010-11-24,214.17,2430
2010-11-25,212.19,3425
2010-11-26,212.19,7399
2010-11-29,210.0 ,1671
2010-11-30,208.02,1824
2010-12-01,211.85,119
2010-12-02,210.0 ,4014
2010-12-03,211.21,1521
2010-12-06,212.0 ,1394
2010-12-07,219.0 ,1903
2010-12-08,223.48,412
2010-12-09,218.5 ,1475
2010-12-10,219.03,1216
2010-12-13,217.0 ,1499
2010-12-14,214.0 ,5362
2010-12-15,213.0 ,258
2010-12-16,214.0 ,343
2010-12-17,214.99,434
2010-12-20,214.0 ,1868
2010-12-21,213.1 ,3073
2010-12-22,215.83,77
2010-12-23,215.6 ,29
2010-12-24,218.17,690
2010-12-27,212.7 ,62
2010-12-28,212.1 ,661
2010-12-29,212.98,2567
2010-12-30,213.8 ,45
2011-01-11,224.99,3240
2011-01-12,226.0 ,4549
2011-01-13,224.5 ,941
2011-01-14,222.0 ,9140
2011-01-17,222.0 ,3913
2011-01-18,219.0 ,1423
2011-01-19,222.0 ,2381
2011-01-20,219.31,1489
2011-01-21,223.0 ,1864
2011-01-24,220.0 ,1714
2011-01-25,221.53,4685
2011-01-26,227.0 ,8599
2011-01-27,224.99,1843
2011-01-28,222.5 ,167
2011-01-31,224.59,3456
2011-02-01,225.5 ,3599
2011-02-02,230.0 ,6581
2011-02-03,224.99,5372
2011-02-04,225.5 ,3381
2011-02-07,220.0 ,1659
2011-02-08,225.79,341
2011-02-09,221.0 ,1577
2011-02-10,225.46,18774
2011-02-11,225.43,703
2011-02-14,224.44,10019
2011-02-15,224.27,52
2011-02-16,224.27,1326
2011-02-17,225.57,7031
2011-02-18,224.33,75
2011-02-21,220.1 ,92
2011-02-22,220.0 ,1553
2011-02-24,219.0 ,196
2011-02-25,227.0 ,72
2011-02-28,224.02,2100
2011-03-01,220.82,2380
2011-03-02,220.58,5470
2011-03-03,219.01,3320
2011-03-04,      ,0
2011-03-05,221.89,110
2011-03-09,218.3 ,150
2011-03-10,214.08,570
2011-03-11,213.75,1220
2011-03-14,214.64,260
2011-03-15,213.01,4520
2011-03-16,215.0 ,2740
2011-03-17,205.0 ,4
2011-03-18,220.0 ,60
2011-03-21,214.07,1070
2011-03-22,214.5 ,10
2011-03-23,218.49,100
2011-03-24,214.02,140
2011-03-25,216.2 ,620
2011-03-28,217.77,10
2011-03-29,220.53,610
2011-03-30,220.5 ,340
2011-03-31,224.0 ,4750
2011-04-01,225.0 ,2200
2011-04-04,230.0 ,3110
2011-04-05,230.0 ,200
2011-04-06,224.0 ,13780
2011-04-07,157.0 ,2
2011-04-08,221.01,150
2011-04-11,221.0 ,10
2011-04-12,216.25,750
2011-04-13,      ,0
2011-04-14,215.0 ,60
2011-04-15,220.0 ,30
2011-04-18,215.0 ,2310
2011-04-19,      ,0
2011-04-20,220.0 ,1110
2011-04-21,220.0 ,1330
2011-04-22,221.0 ,3240
2011-04-25,220.0 ,2670
2011-04-26,      ,0
2011-04-27,220.54,5260
2011-04-28,214.06,30
2011-04-29,216.2 ,870
2011-05-03,212.0 ,430
2011-05-04,208.0 ,320
2011-05-05,208.0 ,200
2011-05-06,      ,0
2011-05-10,209.85,1030
2011-05-11,207.77,130
2011-05-12,206.0 ,300
2011-05-13,205.75,30
2011-05-16,204.2 ,1840
2011-05-17,205.71,20
2011-05-18,207.87,20
2011-05-19,208.0 ,30
2011-05-20,206.01,70
2011-05-23,217.5 ,13860
2011-05-24,214.08,19100
2011-05-25,214.08,1030
2011-05-26,      ,0
2011-05-27,212.0 ,970
2011-05-30,      ,0
2011-05-31,214.0 ,20
2011-06-01,      ,0
2011-06-02,214.0 ,20
2011-06-03,      ,0
2011-06-06,      ,0
2011-06-07,215.0 ,470
2011-06-08,219.98,10
2011-06-09,219.98,30
2011-06-10,220.0 ,520
2011-06-14,224.0 ,1170
2011-06-15,228.0 ,1810
2011-06-16,210.0 ,5
2011-06-17,225.5 ,640
2011-06-20,      ,0
2011-06-21,224.0 ,300
2011-06-22,225.0 ,11650
2011-06-23,223.0 ,4060
2011-06-24,235.0 ,4720
2011-06-27,      ,0
2011-06-28,      ,0
2011-06-29,      ,0
2011-06-30,      ,0
2011-07-01,      ,0
2011-07-04,235.0 ,12720
2011-07-05,230.41,640
2011-07-06,227.0 ,490
2011-07-07,233.0 ,100
2011-07-08,235.0 ,100
2011-07-11,220.51,200
2011-07-12,221.0 ,120
2011-07-13,      ,0
2011-07-14,221.0 ,10
2011-07-15,223.0 ,2140
