DATE      ,CLOSE_PRICE,VOLUME
2003-08-20,581.0      ,1264649
2003-08-21,589.5      ,1063215
2003-08-22,589.0      ,820377
2003-08-25,586.5      ,407418
2003-08-26,581.0      ,879803
2003-08-27,589.0      ,853994
2003-08-28,592.6      ,1089927
2003-08-29,595.99     ,904749
2003-09-01,601.3      ,1099012
2003-09-02,601.0      ,1485162
2003-09-03,592.05     ,2165641
2003-09-04,599.59     ,1754265
2003-09-05,578.0      ,1504674
2003-09-08,573.0      ,1533628
2003-09-09,572.97     ,1091481
2003-09-10,580.85     ,1231112
2003-09-11,586.0      ,1098113
2003-09-12,589.2      ,855275
2003-09-15,595.01     ,1378747
2003-09-16,596.49     ,1136570
2003-09-17,589.23     ,1069790
2003-09-18,582.56     ,693745
2003-09-19,567.0      ,1477618
2003-09-22,562.51     ,922714
2003-09-23,593.99     ,1675378
2003-09-24,598.0      ,2204893
2003-09-25,592.8      ,925950
2003-09-26,596.0      ,873065
2003-09-29,623.69     ,2834207
2003-09-30,625.9      ,2072790
2003-10-01,637.61     ,2315976
2003-10-02,659.7      ,2713850
2003-10-03,684.31     ,3052534
2003-10-06,694.85     ,1984253
2003-10-07,713.0      ,2708445
2003-10-08,715.0      ,4750225
2003-10-09,702.0      ,3966020
2003-10-10,683.0      ,1586932
2003-10-13,693.0      ,1019992
2003-10-14,689.0      ,2508367
2003-10-15,683.5      ,2078701
2003-10-16,695.3      ,2065276
2003-10-17,721.0      ,3387776
2003-10-20,695.5      ,2726696
2003-10-21,681.5      ,2844512
2003-10-22,653.5      ,2306485
2003-10-23,646.52     ,2357161
2003-10-24,652.5      ,1405108
2003-10-27,625.0      ,4106729
2003-10-28,644.0      ,2869038
2003-10-29,630.12     ,2904099
2003-10-30,584.0      ,3100619
2003-10-31,609.5      ,2227649
2003-11-03,658.99     ,2275709
2003-11-04,654.0      ,2406347
2003-11-05,637.0      ,1885802
2003-11-06,634.65     ,1584383
2003-11-10,643.52     ,1987159
2003-11-11,635.0      ,1167353
2003-11-12,632.0      ,1585561
2003-11-13,633.97     ,942565
2003-11-14,621.61     ,1058227
2003-11-17,604.0      ,1384073
2003-11-18,584.9      ,1837048
2003-11-19,580.02     ,1902237
2003-11-20,602.0      ,2363633
2003-11-21,615.0      ,1983687
2003-11-24,628.0      ,1563458
2003-11-25,638.3      ,1648191
2003-11-26,643.48     ,1876511
2003-11-27,649.0      ,1370980
2003-11-28,642.32     ,2115522
2003-12-01,636.11     ,1209209
2003-12-02,643.01     ,1949539
2003-12-03,661.4      ,1876569
2003-12-04,648.92     ,1451620
2003-12-05,653.0      ,1265143
2003-12-08,653.99     ,1328108
2003-12-09,681.0      ,3051840
2003-12-10,673.0      ,2412652
2003-12-11,675.0      ,1346339
2003-12-15,679.78     ,1068331
2003-12-16,656.6      ,1550146
2003-12-17,649.7      ,969275
2003-12-18,649.0      ,1810854
2003-12-19,663.2      ,1586014
2003-12-22,664.98     ,1053674
2003-12-23,670.5      ,1630225
2003-12-24,664.0      ,1227750
2003-12-25,673.0      ,677342
2003-12-26,669.81     ,367324
2003-12-29,675.0      ,370899
2003-12-30,677.0      ,439500
2004-01-05,718.02     ,1496859
2004-01-06,718.0      ,1339489
2004-01-08,700.0      ,1466429
2004-01-09,714.89     ,1149998
2004-01-12,700.21     ,1850679
2004-01-13,703.0      ,2652427
2004-01-14,709.0      ,1535816
2004-01-15,687.8      ,1876553
2004-01-16,691.8      ,1461857
2004-01-19,705.0      ,1305762
2004-01-20,718.0      ,2795464
2004-01-21,733.48     ,3280443
2004-01-22,732.0      ,3117575
2004-01-23,742.9      ,3075555
2004-01-26,740.37     ,1864871
2004-01-27,751.6      ,2583246
2004-01-28,738.0      ,2475197
2004-01-29,742.1      ,1508988
2004-01-30,736.0      ,1910944
2004-02-02,722.0      ,1407800
2004-02-03,729.9      ,1177905
2004-02-04,740.49     ,1132165
2004-02-05,721.5      ,1054728
2004-02-06,726.97     ,1159598
2004-02-09,722.99     ,1027181
2004-02-10,723.8      ,960077
2004-02-11,730.0      ,1356359
2004-02-12,744.99     ,1547029
2004-02-13,751.6      ,1471436
2004-02-16,757.9      ,1045809
2004-02-17,763.01     ,1687271
2004-02-18,768.79     ,1718798
2004-02-19,756.4      ,1545294
2004-02-20,765.0      ,808304
2004-02-24,773.89     ,2676088
2004-02-25,773.69     ,1516412
2004-02-26,790.5      ,1624033
2004-02-27,801.8      ,1788097
2004-03-01,828.49     ,2466518
2004-03-02,819.4      ,1917715
2004-03-03,823.0      ,1755757
2004-03-04,830.5      ,1663882
2004-03-05,837.0      ,823163
2004-03-09,839.1      ,1025252
2004-03-10,822.94     ,1352964
2004-03-11,808.93     ,1458755
2004-03-12,816.3      ,910772
2004-03-15,803.01     ,1276842
2004-03-16,817.02     ,1292661
2004-03-17,834.0      ,2323010
2004-03-18,854.2      ,2349529
2004-03-19,868.05     ,1734473
2004-03-22,859.0      ,1472573
2004-03-23,859.0      ,1806248
2004-03-24,849.01     ,1590040
2004-03-25,836.0      ,2774183
2004-03-26,836.0      ,1347973
2004-03-29,856.5      ,1406812
2004-03-30,867.0      ,1726007
2004-03-31,886.0      ,1842037
2004-04-01,871.01     ,1774969
2004-04-02,893.3      ,1933702
2004-04-05,920.0      ,2213166
2004-04-06,910.5      ,2247879
2004-04-07,924.0      ,1602826
2004-04-08,939.7      ,1672187
2004-04-09,939.0      ,690839
2004-04-12,939.9      ,1078424
2004-04-13,912.0      ,2335515
2004-04-14,891.0      ,2241139
2004-04-15,901.75     ,2284422
2004-04-16,871.5      ,2318573
2004-04-19,870.12     ,1541415
2004-04-20,877.44     ,1470041
2004-04-21,839.74     ,1542355
