DATE      ,CLOSE_PRICE,VOLUME
2007-11-09,           ,0
2007-11-12,           ,0
2007-11-13,           ,0
2007-11-14,           ,0
2007-11-15,           ,0
2007-11-16,           ,0
2007-11-19,           ,0
2007-11-20,           ,0
2007-11-21,           ,0
2007-11-22,           ,0
2007-11-23,           ,0
2007-11-26,           ,0
2007-11-27,           ,0
2007-11-28,           ,0
2007-11-29,           ,0
2007-11-30,1768.0     ,10721
2007-12-03,           ,0
2007-12-04,           ,0
2007-12-05,           ,0
2007-12-06,           ,0
2007-12-07,           ,0
2007-12-10,           ,0
2007-12-11,           ,0
2007-12-12,           ,0
2007-12-13,           ,0
2007-12-14,           ,0
2007-12-17,           ,0
2007-12-18,           ,0
2007-12-19,           ,0
2007-12-20,           ,0
2007-12-21,           ,0
2007-12-24,           ,0
2007-12-25,           ,0
2007-12-26,           ,0
2007-12-27,1787.0     ,600
2007-12-28,           ,0
2008-01-09,           ,0
2008-01-10,           ,0
2008-01-11,           ,0
2008-01-14,           ,0
2008-01-15,           ,0
2008-01-16,           ,0
2008-01-17,           ,0
2008-01-18,           ,0
2008-01-21,           ,0
2008-01-22,           ,0
2008-01-23,           ,0
2008-01-24,           ,0
2008-01-25,           ,0
2008-01-28,           ,0
2008-01-29,           ,0
2008-01-30,           ,0
2008-01-31,           ,0
2008-02-01,           ,0
2008-02-04,           ,0
2008-02-05,           ,0
2008-02-06,           ,0
2008-02-07,           ,0
2008-02-08,           ,0
2008-02-11,           ,0
2008-02-12,           ,0
2008-02-13,           ,0
2008-02-14,           ,0
2008-02-15,           ,0
2008-02-18,           ,0
2008-02-19,           ,0
2008-02-20,1658.0     ,1600
2008-02-21,1650.0     ,1202
2008-02-22,           ,0
2008-02-26,           ,0
2008-02-27,           ,0
2008-02-28,           ,0
2008-02-29,           ,0
2008-03-03,1763.0     ,317
2008-03-04,1800.0     ,17
2008-03-05,           ,0
2008-03-06,           ,0
2008-03-07,           ,0
2008-03-11,1807.0     ,45
2008-03-12,1859.0     ,1
2008-03-13,2000.0     ,206
2008-03-14,2000.0     ,2
2008-03-17,2100.0     ,813
2008-03-18,1791.0     ,47
2008-03-19,2000.0     ,11
2008-03-20,1710.0     ,11
2008-03-21,1712.0     ,9
2008-03-24,1813.0     ,2
2008-03-25,1833.0     ,419
2008-03-26,           ,0
2008-03-27,1880.0     ,4
2008-03-28,1774.0     ,51
2008-03-31,           ,0
2008-04-01,1700.0     ,1
2008-04-02,           ,0
2008-04-03,           ,0
2008-04-04,           ,0
2008-04-07,1715.0     ,11
2008-04-08,           ,0
2008-04-09,           ,0
2008-04-10,           ,0
2008-04-11,1899.0     ,18
2008-04-14,           ,0
2008-04-15,           ,0
2008-04-16,1800.0     ,9
2008-04-17,           ,0
2008-04-18,           ,0
2008-04-21,1890.0     ,15
2008-04-22,1785.0     ,5
2008-04-23,           ,0
2008-04-24,1750.0     ,21
2008-04-25,1800.0     ,340
2008-04-28,1800.0     ,340
2008-04-29,1800.0     ,100
2008-04-30,1750.0     ,13
2008-05-04,           ,0
2008-05-05,           ,0
2008-05-06,           ,0
2008-05-07,1845.0     ,7
2008-05-12,1890.0     ,3
2008-05-13,1890.0     ,1
2008-05-14,1950.0     ,89
2008-05-15,           ,0
2008-05-16,1920.01    ,3
2008-05-19,1855.0     ,1
2008-05-20,1880.0     ,1
2008-05-21,1860.0     ,54
2008-05-22,1900.0     ,7
2008-05-23,           ,0
2008-05-26,1980.0     ,1
2008-05-27,1980.0     ,5
2008-05-28,1915.0     ,229
2008-05-29,1900.0     ,302
2008-05-30,1900.0     ,300
2008-06-02,1932.0     ,29
2008-06-03,           ,0
2008-06-04,1790.0     ,220
2008-06-05,1770.0     ,220
2008-06-06,1850.0     ,35
2008-06-07,           ,0
2008-06-09,1745.0     ,532
2008-06-10,1699.0     ,13
2008-06-11,1700.0     ,59
2008-06-16,1700.0     ,40
2008-06-17,1736.0     ,43
2008-06-18,1700.0     ,201
2008-06-19,1699.0     ,6
2008-06-20,1730.0     ,23
2008-06-23,1750.0     ,3
2008-06-24,1720.0     ,1
2008-06-25,1700.0     ,8
2008-06-26,1710.0     ,1
2008-06-27,1650.0     ,25
2008-06-30,1635.0     ,28
2008-07-01,1636.0     ,100
2008-07-02,1550.0     ,7
2008-07-03,1540.05    ,31
2008-07-04,1550.0     ,53
2008-07-07,1650.0     ,1
2008-07-08,1600.0     ,7
2008-07-09,           ,0
2008-07-10,           ,0
2008-07-11,1490.0     ,54
2008-07-14,           ,0
2008-07-15,1490.0     ,1
2008-07-16,1480.0     ,3
2008-07-17,1600.0     ,50
2008-07-18,1500.0     ,176
2008-07-21,1400.0     ,44
2008-07-22,1366.67    ,968
2008-07-23,1390.0     ,3
2008-07-24,1370.0     ,460
2008-07-25,           ,0
2008-07-28,1359.0     ,12
2008-07-29,1448.99    ,1
2008-07-30,1445.99    ,10
2008-07-31,1538.96    ,2
2008-08-01,           ,0
2008-08-04,           ,0
