DATE      ,CLOSE_PRICE,VOLUME
2012-11-28,630.0      ,6290
2012-11-29,630.0      ,9390
2012-11-30,655.0      ,114060
2012-12-03,660.0      ,8890
2012-12-04,655.5      ,18620
2012-12-05,672.0      ,19740
2012-12-06,681.0      ,19310
2012-12-07,679.1      ,30650
2012-12-10,679.7      ,4740
2012-12-11,695.0      ,21130
2012-12-12,692.3      ,8080
2012-12-13,688.6      ,9050
2012-12-14,723.2      ,19410
2012-12-17,742.4      ,14740
2012-12-18,738.0      ,38090
2012-12-19,750.0      ,10280
2012-12-20,740.0      ,10150
2012-12-21,721.5      ,17100
2012-12-24,724.7      ,7070
2012-12-25,723.8      ,1040
2012-12-26,727.0      ,3130
2012-12-27,725.3      ,8050
2012-12-28,723.0      ,2180
2013-01-08,748.0      ,10080
2013-01-09,756.8      ,3320
2013-01-10,760.0      ,18010
2013-01-11,754.9      ,15020
2013-01-14,755.1      ,9160
2013-01-15,755.2      ,3750
2013-01-16,768.3      ,9250
2013-01-17,803.0      ,18630
2013-01-18,790.0      ,45450
2013-01-21,798.0      ,5080
2013-01-22,792.4      ,6050
2013-01-23,810.0      ,33500
2013-01-24,822.3      ,7890
2013-01-25,818.0      ,24400
2013-01-28,813.2      ,6600
2013-01-29,805.1      ,4050
2013-01-30,806.2      ,6350
2013-01-31,811.8      ,7260
2013-02-01,830.0      ,20930
2013-02-04,847.0      ,51640
2013-02-05,845.0      ,20000
2013-02-06,850.0      ,7770
2013-02-07,847.5      ,8120
2013-02-08,846.3      ,12810
2013-02-11,848.4      ,4970
2013-02-12,845.5      ,1090
2013-02-13,848.5      ,3290
2013-02-14,833.6      ,3700
2013-02-15,829.6      ,7470
2013-02-18,825.1      ,4580
2013-02-19,829.4      ,5860
2013-02-20,824.0      ,3990
2013-02-21,811.9      ,4170
2013-02-22,825.0      ,5050
2013-02-25,820.0      ,1050
2013-02-26,815.4      ,2150
2013-02-27,834.4      ,8140
2013-02-28,864.0      ,24310
2013-03-01,893.6      ,28630
2013-03-04,857.3      ,5170
2013-03-05,866.0      ,4420
2013-03-06,895.0      ,3160
2013-03-07,910.3      ,2290
2013-03-11,943.5      ,18930
2013-03-12,944.8      ,11870
2013-03-13,923.0      ,17430
2013-03-14,934.8      ,9480
2013-03-15,951.4      ,13480
2013-03-18,955.0      ,5050
2013-03-19,918.8      ,11000
2013-03-20,934.4      ,3840
2013-03-21,914.0      ,7840
2013-03-22,895.2      ,5320
2013-03-25,907.0      ,10220
2013-03-26,929.9      ,17810
2013-03-27,954.7      ,19010
2013-03-28,963.4      ,3930
2013-03-29,962.0      ,6550
2013-04-01,968.4      ,4210
2013-04-02,961.0      ,6970
2013-04-03,957.4      ,3390
2013-04-04,943.0      ,13490
2013-04-05,870.0      ,45250
2013-04-08,868.7      ,11350
2013-04-09,906.6      ,11300
2013-04-10,915.4      ,7330
2013-04-11,905.0      ,5590
2013-04-12,925.5      ,2960
2013-04-15,900.1      ,4740
2013-04-16,880.6      ,10250
2013-04-17,888.2      ,4280
2013-04-18,900.0      ,2280
2013-04-19,883.0      ,2000
2013-04-22,907.2      ,11380
2013-04-23,894.0      ,4280
2013-04-24,905.0      ,1720
2013-04-25,895.0      ,4870
2013-04-26,920.0      ,5710
2013-04-29,935.0      ,11950
2013-04-30,949.3      ,2540
2013-05-02,963.4      ,6090
2013-05-03,961.0      ,1210
2013-05-06,954.8      ,500
2013-05-07,988.8      ,5180
2013-05-08,970.1      ,3110
2013-05-10,989.3      ,2040
2013-05-13,993.5      ,5410
2013-05-14,1040.0     ,11970
2013-05-15,1035.0     ,44540
2013-05-16,997.3      ,25720
2013-05-17,1016.2     ,17870
2013-05-20,1039.2     ,6070
2013-05-21,1064.5     ,12060
2013-05-22,1053.1     ,17730
2013-05-23,1027.0     ,14310
2013-05-24,1026.8     ,7770
2013-05-27,1023.6     ,330
2013-05-28,1051.0     ,3760
2013-05-29,1053.0     ,1450
2013-05-30,1012.5     ,6200
2013-05-31,991.6      ,11320
2013-06-03,992.5      ,5950
2013-06-04,1010.1     ,4200
2013-06-05,1003.4     ,3250
2013-06-06,1003.1     ,790
2013-06-07,1019.0     ,1980
2013-06-10,1003.6     ,430
2013-06-11,951.3      ,12940
2013-06-13,966.0      ,8140
2013-06-14,986.1      ,1310
2013-06-17,1032.0     ,7760
2013-06-18,1040.1     ,7320
2013-06-19,1041.7     ,16200
2013-06-20,1000.4     ,15740
2013-06-21,997.0      ,14200
2013-06-24,990.6      ,1390
2013-06-25,986.9      ,4920
2013-06-26,990.0      ,16730
2013-06-27,982.5      ,2520
2013-06-28,1013.7     ,10190
2013-07-01,1016.0     ,2370
2013-07-02,1025.0     ,4140
2013-07-03,1014.0     ,830
2013-07-04,1012.5     ,2420
2013-07-05,1050.0     ,8020
2013-07-08,1038.4     ,3410
2013-07-09,1047.1     ,320
2013-07-10,1042.0     ,1200
2013-07-11,1045.3     ,890
2013-07-12,1075.2     ,6680
2013-07-15,1102.0     ,6650
2013-07-16,1106.6     ,6830
2013-07-17,1106.9     ,1110
2013-07-18,1081.7     ,1790
2013-07-19,1063.0     ,6110
2013-07-22,1054.9     ,1620
2013-07-23,1075.0     ,10350
2013-07-24,1059.0     ,6060
2013-07-25,1066.0     ,5780
2013-07-26,1058.7     ,4800
2013-07-29,1035.0     ,3400
2013-07-30,1040.0     ,6120
2013-07-31,1044.0     ,3110
2013-08-01,1031.2     ,4980
2013-08-02,1012.0     ,5250
2013-08-05,1030.9     ,2910
2013-08-06,1020.5     ,2430
2013-08-07,1027.0     ,1340
2013-08-08,1065.0     ,10220
2013-08-09,1073.9     ,3820
2013-08-12,1077.8     ,2110
2013-08-13,1110.4     ,8800
2013-08-14,1099.0     ,1390
2013-08-15,1104.1     ,4630
2013-08-16,1097.2     ,1010
2013-08-19,1090.5     ,1030
2013-08-20,1091.7     ,3170
2013-08-21,1093.6     ,2030
2013-08-22,1091.3     ,2130
2013-08-23,1094.0     ,160
2013-08-26,1117.1     ,1920
2013-08-27,1112.9     ,1660
2013-08-28,1144.7     ,4850
2013-08-29,1110.0     ,9080
2013-08-30,1120.0     ,4800
2013-09-02,1130.9     ,2410
2013-09-03,1120.0     ,450
2013-09-04,1125.0     ,11740
2013-09-05,1160.0     ,5950
2013-09-06,1167.0     ,550
2013-09-09,1165.0     ,330
2013-09-10,1146.8     ,3170
2013-09-11,1140.0     ,2370
2013-09-12,1142.1     ,3260
2013-09-13,1125.5     ,4550
2013-09-16,1126.0     ,9240
2013-09-17,1147.5     ,14670
2013-09-18,1185.0     ,19690
2013-09-19,1178.0     ,30890
2013-09-20,1148.3     ,12660
2013-09-23,1150.1     ,7230
2013-09-24,1166.3     ,9890
2013-09-25,1168.0     ,6440
2013-09-26,1156.4     ,17210
2013-09-27,1149.2     ,11710
2013-09-30,1146.2     ,3710
2013-10-01,1157.8     ,5220
2013-10-02,1131.1     ,9050
2013-10-03,1175.8     ,13950
2013-10-04,1195.9     ,9770
2013-10-07,1180.0     ,5850
2013-10-08,1227.5     ,28400
2013-10-09,1219.9     ,18200
2013-10-10,1203.9     ,27150
2013-10-11,1189.9     ,29090
2013-10-14,1201.3     ,15420
2013-10-15,1210.0     ,22200
2013-10-16,1188.0     ,26350
2013-10-17,1172.0     ,19750
2013-10-18,1183.0     ,30400
2013-10-21,1200.0     ,9770
2013-10-22,1210.0     ,12250
2013-10-23,1189.0     ,9820
2013-10-24,1204.5     ,5020
2013-10-25,1196.0     ,3570
2013-10-28,1203.8     ,5590
2013-10-29,1203.9     ,7160
2013-10-30,1201.3     ,12070
2013-10-31,1156.3     ,19780
2013-11-01,1178.8     ,9310
2013-11-05,1163.0     ,5880
2013-11-06,1164.5     ,11780
2013-11-07,1175.6     ,7910
2013-11-08,1141.4     ,20890
2013-11-11,1140.4     ,3760
2013-11-12,1168.9     ,16520
2013-11-13,1118.6     ,28070
2013-11-14,1128.3     ,23270
2013-11-15,1112.5     ,12610
2013-11-18,1133.1     ,9630
2013-11-19,1114.7     ,22040
2013-11-20,1076.1     ,28940
2013-11-21,1083.6     ,6750
2013-11-22,1082.8     ,20030
2013-11-25,1084.1     ,27020
2013-11-26,1082.6     ,17080
2013-11-27,1038.7     ,16920
2013-11-28,1077.0     ,11030
2013-11-29,1066.4     ,18410
2013-12-02,1045.1     ,9700
2013-12-03,1030.1     ,22090
2013-12-04,1033.0     ,21810
2013-12-05,1042.9     ,6770
2013-12-06,1070.0     ,10600
2013-12-09,1073.0     ,7900
2013-12-10,1065.0     ,10290
2013-12-11,1077.0     ,16770
2013-12-12,1110.0     ,26920
2013-12-13,1122.1     ,12780
2013-12-16,1127.5     ,53120
2013-12-17,1137.5     ,9800
2013-12-18,1140.4     ,8330
2013-12-19,1120.0     ,18870
2013-12-20,1070.0     ,26260
2013-12-23,1111.0     ,32050
2013-12-24,1094.0     ,5940
2013-12-25,1106.0     ,9490
2013-12-26,1119.5     ,6250
2013-12-27,1093.2     ,20420
2013-12-30,1107.4     ,8680
2014-01-06,1071.9     ,16210
2014-01-08,1061.3     ,6320
2014-01-09,1049.8     ,17570
2014-01-10,1079.9     ,15220
2014-01-13,1041.0     ,30420
2014-01-14,1046.6     ,27420
2014-01-15,1048.7     ,39770
2014-01-16,1032.1     ,22090
2014-01-17,1040.3     ,30100
2014-01-20,1047.0     ,9590
2014-01-21,1064.0     ,17010
2014-01-22,1058.7     ,13960
2014-01-23,1050.0     ,24060
2014-01-24,1044.8     ,15570
2014-01-27,1044.0     ,17950
2014-01-28,1044.0     ,14540
2014-01-29,1046.0     ,34980
2014-01-30,1038.1     ,20820
2014-01-31,1040.7     ,29500
2014-02-03,1045.9     ,9560
2014-02-04,1065.0     ,14220
2014-02-05,1077.5     ,18590
2014-02-06,1091.3     ,18800
2014-02-07,1096.9     ,27130
2014-02-10,1104.0     ,8390
2014-02-11,1095.0     ,10100
2014-02-12,1099.1     ,11130
2014-02-13,1080.3     ,23230
2014-02-14,1093.6     ,15820
2014-02-17,1096.9     ,8340
2014-02-18,1110.0     ,18290
2014-02-19,1104.4     ,39980
2014-02-20,1086.3     ,14020
2014-02-21,1099.2     ,7720
2014-02-24,1081.0     ,12210
2014-02-25,1083.9     ,23870
2014-02-26,1068.8     ,11370
2014-02-27,1065.0     ,10590
2014-02-28,1053.0     ,13030
2014-03-03,910.0      ,35770
2014-03-04,953.1      ,22870
2014-03-05,962.4      ,31520
2014-03-06,978.0      ,35680
2014-03-07,981.3      ,5750
2014-03-11,959.3      ,8320
2014-03-12,920.1      ,8510
2014-03-13,890.2      ,17890
2014-03-14,896.0      ,43930
2014-03-17,930.0      ,86900
2014-03-18,985.8      ,49950
2014-03-19,962.0      ,38240
2014-03-20,946.0      ,12180
2014-03-21,915.1      ,46220
2014-03-24,930.6      ,14390
2014-03-25,967.0      ,18170
2014-03-26,987.7      ,21120
2014-03-27,976.5      ,9280
2014-03-28,1004.5     ,16460
2014-03-31,988.0      ,12900
2014-04-01,968.0      ,20000
2014-04-02,968.8      ,20200
2014-04-03,956.8      ,33260
