DATE      ,CLOSE_PRICE,VOLUME
2008-05-21,           ,0
2008-05-22,           ,0
2008-05-23,           ,0
2008-05-26,           ,0
2008-05-27,           ,0
2008-05-28,           ,0
2008-05-29,           ,0
2008-05-30,           ,0
2008-06-02,           ,0
2008-06-03,           ,0
2008-06-04,           ,0
2008-06-05,           ,0
2008-06-06,           ,0
2008-06-07,           ,0
2008-06-09,           ,0
2008-06-10,           ,0
2008-06-11,           ,0
2008-06-16,           ,0
2008-06-17,           ,0
2008-06-18,           ,0
2008-06-19,           ,0
2008-06-20,           ,0
2008-06-23,           ,0
2008-06-24,           ,0
2008-06-25,           ,0
2008-06-26,           ,0
2008-06-27,           ,0
2008-06-30,           ,0
2008-07-01,           ,0
2008-07-02,           ,0
2008-07-03,           ,0
2008-07-04,           ,0
2008-07-07,           ,0
2008-07-08,           ,0
2008-07-09,           ,0
2008-07-10,           ,0
2008-07-11,           ,0
2008-07-14,           ,0
2008-07-15,           ,0
2008-07-16,           ,0
2008-07-17,           ,0
2008-07-18,           ,0
2008-07-21,           ,0
2008-07-22,           ,0
2008-07-23,           ,0
2008-07-24,           ,0
2008-07-25,           ,0
2008-07-28,           ,0
2008-07-29,           ,0
2008-07-30,           ,0
2008-07-31,           ,0
2008-08-01,           ,0
2008-08-04,           ,0
2008-08-05,           ,0
2008-08-06,           ,0
2008-08-07,           ,0
2008-08-08,           ,0
2008-08-11,           ,0
2008-08-12,           ,0
2008-08-13,           ,0
2008-08-14,           ,0
2008-08-15,           ,0
2008-08-18,1.066      ,884700
2008-08-19,1.0        ,1671100
2008-08-20,1.0        ,32151900
2008-08-21,0.999      ,746600
2008-08-22,0.98       ,6504300
2008-08-25,0.953      ,1462800
2008-08-26,0.94       ,2589200
2008-08-27,0.93       ,2682300
2008-08-28,0.967      ,946600
2008-08-29,0.972      ,2523200
2008-09-01,0.96       ,35682000
2008-09-02,0.965      ,46758100
2008-09-03,0.975      ,5113300
2008-09-04,0.965      ,20438800
2008-09-05,0.985      ,19099600
2008-09-08,0.95       ,19031700
2008-09-09,0.91       ,19947000
2008-09-10,0.875      ,1531500
2008-09-11,0.866      ,14945700
2008-09-12,0.9        ,15553700
2008-09-15,0.87       ,1192700
2008-09-16,0.601      ,1062400
2008-09-17,0.799      ,200
2008-09-18,           ,0
2008-09-19,0.749      ,406600
2008-09-22,0.748      ,18000
2008-09-23,0.72       ,1586000
2008-09-24,0.642      ,200800
2008-09-25,0.6        ,107209500
2008-09-26,0.625      ,56600
2008-09-29,0.625      ,1726500
2008-09-30,0.595      ,13050800
2008-10-01,0.59       ,192900
2008-10-02,0.579      ,1105300
2008-10-03,0.575      ,3795200
2008-10-06,0.54       ,12883600
2008-10-07,0.587      ,388300
2008-10-08,0.589      ,71000
2008-10-09,0.432      ,10463300
2008-10-10,           ,0
2008-10-13,0.452      ,16202900
2008-10-14,0.45       ,172700
2008-10-15,0.46       ,160000
2008-10-16,0.42       ,1747100
2008-10-17,0.45       ,3827500
2008-10-20,0.39       ,1101200
2008-10-21,0.27       ,34410400
2008-10-22,0.265      ,60400
2008-10-23,0.268      ,1800700
2008-10-24,0.231      ,135600
2008-10-27,           ,0
2008-10-28,0.196      ,20280000
2008-10-29,0.209      ,15283000
2008-10-30,0.211      ,3338900
2008-10-31,0.21       ,1257400
2008-11-01,0.229      ,300600
2008-11-05,0.223      ,20258200
2008-11-06,0.218      ,2353900
2008-11-07,0.23       ,2802700
2008-11-10,0.233      ,6139900
2008-11-11,0.231      ,989100
2008-11-12,           ,0
2008-11-13,0.295      ,3056300
2008-11-14,0.31       ,5925500
2008-11-17,0.285      ,2228900
2008-11-18,0.213      ,1741800
2008-11-19,0.25       ,21475200
2008-11-20,0.27       ,1166700
2008-11-21,0.27       ,455400
2008-11-24,0.295      ,6740300
2008-11-25,0.358      ,5178000
2008-11-26,0.355      ,2677900
2008-11-27,0.34       ,7621800
2008-11-28,0.359      ,3785700
2008-12-01,0.388      ,859200
2008-12-02,0.38       ,1192200
2008-12-03,0.44       ,13476500
2008-12-04,0.438      ,208000
2008-12-05,0.41       ,555300
2008-12-08,0.449      ,2489400
2008-12-09,0.422      ,336300
2008-12-10,0.399      ,32164300
2008-12-11,0.38       ,2830100
2008-12-12,0.39       ,1126400
2008-12-15,0.38       ,3945200
2008-12-16,0.395      ,441400
2008-12-17,0.38       ,467100
2008-12-18,0.383      ,2664700
2008-12-19,0.37       ,13039100
2008-12-22,0.371      ,175300
2008-12-23,0.375      ,2290800
2008-12-24,0.378      ,2783500
2008-12-25,0.39       ,743000
2008-12-26,0.371      ,4742500
2008-12-29,0.386      ,962700
2008-12-30,0.387      ,191300
2008-12-31,0.381      ,876200
2009-01-11,0.419      ,69200
2009-01-12,0.428      ,1180000
2009-01-13,0.387      ,46200
2009-01-14,0.389      ,241500
2009-01-15,0.382      ,31600
2009-01-16,0.4        ,1406400
2009-01-19,0.375      ,2124000
2009-01-20,0.371      ,2210100
2009-01-21,0.38       ,2840600
2009-01-22,0.374      ,4046900
2009-01-23,0.38       ,4339200
2009-01-26,0.399      ,29100
2009-01-27,0.37       ,5143500
2009-01-28,0.379      ,21700
2009-01-29,0.365      ,800
2009-01-30,0.394      ,19200
2009-02-02,0.37       ,1428000
2009-02-03,0.395      ,600
2009-02-04,0.391      ,13500
2009-02-05,0.38       ,109600
2009-02-06,0.41       ,1712800
2009-02-09,0.41       ,7433100
2009-02-10,0.41       ,1039800
2009-02-11,0.42       ,1848000
2009-02-12,0.42       ,71050700
2009-02-13,0.42       ,25700
2009-02-16,0.404      ,1268500
2009-02-17,0.399      ,1426700
2009-02-18,0.384      ,7367000
2009-02-19,0.405      ,2023300
2009-02-20,0.419      ,2700300
2009-02-24,0.419      ,14524300
2009-02-25,0.407      ,623000
2009-02-26,0.431      ,159500
2009-02-27,0.409      ,698100
2009-03-02,0.39       ,18300
2009-03-03,0.4        ,1071000
2009-03-04,0.408      ,94600
2009-03-05,           ,0
2009-03-06,0.425      ,33344200
2009-03-10,0.44       ,2395900
2009-03-11,0.45       ,43100
2009-03-12,0.417      ,3116000
