DATE      ,CLOSE_PRICE       ,VOLUME
2006-02-10,0.53              ,2227500
2006-02-13,0.55              ,5416200
2006-02-14,0.69              ,6337500
2006-02-15,0.66              ,1241200
2006-02-16,0.68              ,1018600
2006-02-17,0.72              ,3498400
2006-02-20,0.76              ,1019000
2006-02-21,0.71              ,684900
2006-02-22,0.73              ,2253800
2006-02-26,0.82              ,3304900
2006-02-27,0.98              ,6960700
2006-02-28,0.92              ,6186900
2006-03-01,0.88              ,2058500
2006-03-02,0.9               ,1070000
2006-03-03,0.89              ,541500
2006-03-06,0.76              ,4305400
2006-03-07,0.74              ,1175400
2006-03-09,0.71              ,846700
2006-03-10,0.69              ,652000
2006-03-13,0.75              ,1333500
2006-03-14,0.72              ,965900
2006-03-15,0.7               ,676300
2006-03-16,0.7               ,558000
2006-03-17,0.71              ,1082900
2006-03-20,0.68              ,1056900
2006-03-21,0.68              ,335500
2006-03-22,0.69              ,83400
2006-03-23,0.69              ,522500
2006-03-24,0.69              ,128400
2006-03-27,0.7               ,255800
2006-03-28,0.7               ,198400
2006-03-29,0.66              ,2188100
2006-03-30,0.69              ,2235400
2006-03-31,0.69              ,794900
2006-04-03,0.69              ,736400
2006-04-04,0.71              ,1171300
2006-04-05,0.7               ,872700
2006-04-06,0.72              ,1039700
2006-04-07,0.76              ,1468800
2006-04-10,0.77              ,730500
2006-04-11,0.77              ,1364200
2006-04-12,0.76              ,430300
2006-04-13,0.78              ,725100
2006-04-14,0.78              ,179900
2006-04-17,0.75              ,1908700
2006-04-18,0.76              ,1895600
2006-04-19,0.79              ,1664700
2006-04-20,0.765             ,495700
2006-04-21,0.775             ,55000
2006-04-24,0.7759999999999999,97200
2006-04-25,0.735             ,2736600
2006-04-26,0.736             ,1208200
2006-04-27,0.72              ,1439900
2006-04-28,0.7090000000000001,731300
2006-05-02,0.7190000000000001,546000
2006-05-03,0.7140000000000001,115400
2006-05-04,0.6890000000000001,3344000
2006-05-05,0.67              ,67600
2006-05-06,0.679             ,1372800
2006-05-10,0.66              ,529900
2006-05-11,0.65              ,548300
2006-05-12,0.655             ,305900
2006-05-15,0.62              ,1440300
2006-05-16,0.628             ,1520200
2006-05-17,0.575             ,7952500
2006-05-18,0.615             ,3780300
2006-05-19,0.5920000000000001,965100
2006-05-22,0.58              ,1108600
2006-05-23,0.62              ,810700
2006-05-24,0.6               ,270100
2006-05-25,0.606             ,441700
2006-05-26,0.667             ,528000
2006-05-29,0.64              ,155100
2006-05-30,0.649             ,548600
2006-05-31,0.655             ,256400
2006-06-01,0.65              ,783600
2006-06-02,0.642             ,821100
2006-06-05,0.64              ,132600
2006-06-06,0.614             ,800400
2006-06-07,0.61              ,1349100
2006-06-08,0.608             ,23600
2006-06-09,0.6               ,50800
2006-06-13,0.541             ,314000
2006-06-14,0.527             ,193400
2006-06-15,0.5579999999999999,298000
2006-06-16,0.578             ,257900
2006-06-19,0.57              ,380400
2006-06-20,0.58              ,53600
2006-06-21,0.578             ,1135900
2006-06-22,0.588             ,827600
2006-06-23,0.5870000000000001,9400
2006-06-26,0.59              ,18700
2006-06-27,0.541             ,151300
2006-06-28,0.541             ,3241400
2006-06-29,0.5429999999999999,422700
2006-06-30,0.54              ,3407100
2006-07-03,0.545             ,1387600
2006-07-04,0.57              ,1119700
2006-07-05,0.536             ,215000
2006-07-06,0.579             ,1243100
2006-07-07,0.6               ,716900
2006-07-10,0.588             ,614100
2006-07-11,0.5870000000000001,216900
2006-07-12,0.59              ,52000
2006-07-13,0.575             ,309700
2006-07-14,0.595             ,2158000
2006-07-17,0.726             ,6413300
2006-07-18,0.8               ,19738600
2006-07-19,0.889             ,4549200
2006-07-20,0.899             ,5249800
2006-07-21,1.0               ,9067200
2006-07-24,1.102             ,4839500
2006-07-25,1.013             ,2791400
2006-07-26,1.05              ,1463200
2006-07-27,1.13              ,2962200
2006-07-28,1.141             ,858200
2006-07-31,1.038             ,1546900
2006-08-01,1.01              ,483900
2006-08-02,1.068             ,82700
2006-08-03,1.04              ,214700
2006-08-04,1.133             ,1960200
2006-08-07,1.2890000000000001,12222300
2006-08-08,1.34              ,14490100
2006-08-09,1.32              ,3241900
2006-08-10,1.2990000000000002,2912700
2006-08-11,1.301             ,10372300
2006-08-14,1.301             ,3891900
2006-08-15,1.307             ,2054700
2006-08-16,1.337             ,3290900
2006-08-17,1.34              ,819800
2006-08-18,1.3559999999999999,1135100
2006-08-21,1.305             ,1154400
2006-08-22,1.339             ,98800
2006-08-23,1.368             ,252600
2006-08-24,1.47              ,5548600
2006-08-25,1.54              ,1517500
2006-08-28,1.54              ,3686700
2006-08-29,1.679             ,3577600
2006-08-30,1.785             ,6292900
2006-08-31,1.8980000000000001,10978400
2006-09-01,1.881             ,3765900
2006-09-04,1.945             ,1331500
2006-09-05,2.03              ,6717200
2006-09-06,2.032             ,5180300
2006-09-07,2.0               ,8655200
2006-09-08,2.02              ,844000
2006-09-11,2.0               ,1415600
2006-09-12,2.003             ,1452800
2006-09-13,2.045             ,1336400
2006-09-14,2.0069999999999997,146700
2006-09-15,2.03              ,310100
2006-09-18,2.006             ,695500
2006-09-19,1.965             ,1476800
2006-09-20,1.945             ,2215300
2006-09-21,1.98              ,2826200
2006-09-22,1.89              ,1345100
2006-09-25,1.786             ,1596800
2006-09-26,1.817             ,1366000
2006-09-27,1.834             ,1246700
2006-09-28,1.825             ,1275200
2006-09-29,1.8               ,4819400
2006-10-02,1.8               ,483400
2006-10-03,1.8               ,1115500
2006-10-04,1.8230000000000002,254400
2006-10-05,1.824             ,908300
2006-10-06,1.82              ,1403400
2006-10-09,1.8319999999999999,932600
2006-10-10,1.84              ,378700
2006-10-11,1.84              ,1058300
2006-10-12,1.798             ,1131700
2006-10-13,1.794             ,841900
2006-10-16,1.8               ,672800
2006-10-17,1.79              ,2012300
2006-10-18,1.798             ,1424900
2006-10-19,1.79              ,334300
2006-10-20,1.785             ,1254500
2006-10-23,1.77              ,645100
2006-10-24,1.788             ,735800
2006-10-25,1.82              ,939200
2006-10-26,1.932             ,4919000
2006-10-27,1.86              ,1699500
2006-10-30,1.875             ,6031400
2006-10-31,1.9580000000000002,1456100
2006-11-01,2.1               ,4990900
2006-11-02,2.08              ,3415000
2006-11-03,2.082             ,623900
2006-11-07,2.072             ,1249900
2006-11-08,2.057             ,1932100
2006-11-09,2.0980000000000003,1682800
2006-11-10,2.06              ,625600
2006-11-13,2.05              ,991100
2006-11-14,1.99              ,1388400
2006-11-15,2.03              ,1023200
2006-11-16,2.03              ,116800
2006-11-17,2.024             ,612400
2006-11-20,2.01              ,76200
2006-11-21,2.021             ,791600
2006-11-22,2.05              ,2663500
2006-11-23,2.155             ,3560400
2006-11-24,2.19              ,3739700
2006-11-27,2.215             ,972700
2006-11-28,2.28              ,1844900
2006-11-29,2.325             ,3127900
2006-11-30,2.39              ,1582300
2006-12-01,2.3890000000000002,559300
2006-12-04,2.302             ,1158000
2006-12-05,2.3280000000000003,2660100
2006-12-06,2.31              ,2188200
2006-12-07,2.374             ,704800
2006-12-08,2.362             ,820800
2006-12-11,2.351             ,438500
2006-12-12,2.3               ,1847500
2006-12-13,2.347             ,1060700
2006-12-14,2.355             ,1762500
2006-12-15,2.49              ,3691300
2006-12-18,2.52              ,9380900
2006-12-19,2.48              ,416300
2006-12-20,2.5               ,1348200
2006-12-21,2.499             ,3092600
2006-12-22,2.495             ,1804200
2006-12-25,2.49              ,404800
2006-12-26,2.52              ,857300
2006-12-27,2.537             ,1675500
2006-12-28,2.639             ,15648900
2006-12-29,2.7               ,620100
2007-01-09,2.71              ,3989400
2007-01-10,2.79              ,1343200
2007-01-11,3.1430000000000002,8444100
2007-01-12,3.25              ,5273600
2007-01-15,3.2960000000000003,5832300
2007-01-16,3.28              ,1131100
2007-01-17,3.2               ,3493900
2007-01-18,3.17              ,3327200
2007-01-19,3.22              ,1812600
2007-01-22,3.2               ,4261300
2007-01-23,3.198             ,2347200
2007-01-24,3.15              ,12197900
2007-01-25,3.16              ,4075800
2007-01-26,3.16              ,14096600
2007-01-29,3.13              ,272600
2007-01-30,3.135             ,2570200
2007-01-31,3.147             ,1478200
2007-02-01,3.208             ,15656000
2007-02-02,3.21              ,14574000
2007-02-05,3.221             ,5717400
2007-02-06,3.19              ,3261700
2007-02-07,3.245             ,783600
2007-02-08,3.29              ,2672900
2007-02-09,3.4189999999999996,8442500
2007-02-12,3.37              ,631200
2007-02-13,3.38              ,1087800
2007-02-14,3.759             ,2588000
2007-02-15,4.0               ,5521200
2007-02-16,3.9989999999999997,9110200
2007-02-19,3.989             ,1611100
2007-02-20,3.97              ,4420400
2007-02-21,3.779             ,13799000
2007-02-22,3.7               ,15697000
2007-02-26,3.7939999999999996,9293200
2007-02-27,3.6860000000000004,15503800
2007-02-28,3.6189999999999998,3237300
2007-03-01,3.5               ,25442000
2007-03-02,3.4               ,2938900
2007-03-05,3.2               ,2808700
2007-03-06,3.44              ,742200
2007-03-07,3.4               ,249900
2007-03-09,3.42              ,2747400
2007-03-12,3.4               ,3760600
2007-03-13,3.39              ,3922100
