DATE      ,CLOSE_PRICE,VOLUME
2010-11-03,203.0      ,48479
2010-11-08,200.3      ,28607
2010-11-09,198.0      ,39792
2010-11-10,197.01     ,20500
2010-11-11,195.0      ,5551
2010-11-12,196.71     ,1886
2010-11-13,196.7      ,9814
2010-11-15,200.39     ,35506
2010-11-16,199.0      ,7805
2010-11-17,200.75     ,7889
2010-11-18,200.5      ,54822
2010-11-19,201.0      ,10677
2010-11-22,203.0      ,11601
2010-11-23,204.0      ,11915
2010-11-24,203.35     ,7045
2010-11-25,202.3      ,1020
2010-11-26,203.0      ,5816
2010-11-29,204.0      ,14564
2010-11-30,204.12     ,469
2010-12-01,212.95     ,9791
2010-12-02,226.0      ,32777
2010-12-03,239.99     ,265655
2010-12-06,234.0      ,13425
2010-12-07,235.0      ,24371
2010-12-08,232.0      ,2186
2010-12-09,234.09     ,13527
2010-12-10,233.99     ,38648
2010-12-13,227.99     ,19388
2010-12-14,225.0      ,2637
2010-12-15,226.89     ,8802
2010-12-16,231.19     ,10907
2010-12-17,231.04     ,3168
2010-12-20,234.49     ,62467
2010-12-21,237.24     ,104651
2010-12-22,243.39     ,40330
2010-12-23,247.95     ,38063
2010-12-24,247.99     ,16378
2010-12-27,243.0      ,32668
2010-12-28,242.0      ,15831
2010-12-29,249.0      ,35210
2010-12-30,242.63     ,40845
2011-01-11,246.5      ,50442
2011-01-12,260.0      ,99084
2011-01-13,273.5      ,116185
2011-01-14,280.0      ,66598
2011-01-17,276.1      ,48966
2011-01-18,274.3      ,35537
2011-01-19,278.0      ,43113
2011-01-20,276.22     ,18176
2011-01-21,276.99     ,30496
2011-01-24,274.99     ,5950
2011-01-25,269.11     ,16477
2011-01-26,269.0      ,10210
2011-01-27,264.04     ,7725
2011-01-28,255.0      ,143208
2011-01-31,253.98     ,15218
2011-02-01,252.04     ,10891
2011-02-02,253.91     ,4829
2011-02-03,269.99     ,72734
2011-02-04,273.87     ,62599
2011-02-07,280.0      ,30503
2011-02-08,274.0      ,21870
2011-02-09,273.13     ,24071
2011-02-10,266.1      ,8235
2011-02-11,258.94     ,117561
2011-02-14,252.5      ,33891
2011-02-15,249.43     ,39180
2011-02-16,248.96     ,42566
2011-02-17,248.85     ,45421
2011-02-18,247.84     ,28194
2011-02-21,240.3      ,69104
2011-02-22,238.49     ,97633
2011-02-24,235.0      ,30076
2011-02-25,233.0      ,85802
2011-02-28,232.3      ,89592
2011-03-01,231.0      ,12370
2011-03-02,228.0      ,52190
2011-03-03,223.75     ,61820
2011-03-04,226.0      ,20570
2011-03-05,229.0      ,36100
2011-03-09,227.56     ,9930
2011-03-10,225.9      ,24320
2011-03-11,224.98     ,20930
2011-03-14,227.0      ,11770
2011-03-15,220.05     ,25120
2011-03-16,219.58     ,19890
2011-03-17,218.0      ,23460
2011-03-18,215.37     ,3300
2011-03-21,217.0      ,16420
2011-03-22,216.7      ,34050
2011-03-23,220.0      ,18030
2011-03-24,219.8      ,15170
2011-03-25,224.9      ,66150
2011-03-28,224.9      ,26110
2011-03-29,223.0      ,60690
2011-03-30,225.0      ,68330
2011-03-31,223.2      ,20760
2011-04-01,226.43     ,72150
2011-04-04,220.03     ,75900
2011-04-05,224.0      ,50430
2011-04-06,228.0      ,21010
2011-04-07,229.76     ,30870
2011-04-08,234.0      ,60870
2011-04-11,239.88     ,37390
2011-04-12,235.24     ,103020
2011-04-13,235.38     ,44200
2011-04-14,228.49     ,26570
2011-04-15,225.99     ,44120
2011-04-18,210.44     ,39190
2011-04-19,218.71     ,19140
2011-04-20,218.0      ,23610
2011-04-21,215.8      ,3980
2011-04-22,223.59     ,13870
2011-04-25,222.77     ,25990
2011-04-26,223.99     ,5430
2011-04-27,218.1      ,26610
2011-04-28,216.7      ,8410
2011-04-29,216.75     ,2070
2011-05-03,217.0      ,20910
2011-05-04,218.9      ,11880
2011-05-05,218.0      ,3020
2011-05-06,218.01     ,8940
2011-05-10,220.6      ,5770
2011-05-11,219.56     ,4020
2011-05-12,217.51     ,6090
2011-05-13,217.01     ,10040
2011-05-16,218.36     ,200
2011-05-17,219.5      ,4310
2011-05-18,219.74     ,3680
2011-05-19,219.0      ,72320
2011-05-20,216.0      ,24190
2011-05-23,215.0      ,131720
2011-05-24,221.55     ,38330
2011-05-25,219.22     ,3410
2011-05-26,220.0      ,2270
2011-05-27,220.5      ,7850
2011-05-30,221.01     ,1300
2011-05-31,240.0      ,169420
2011-06-01,240.0      ,30550
2011-06-02,235.7      ,9220
2011-06-03,237.8      ,39870
2011-06-06,240.0      ,26880
2011-06-07,242.69     ,5900
2011-06-08,241.0      ,35020
2011-06-09,245.1      ,16940
2011-06-10,242.5      ,24500
2011-06-14,247.79     ,9450
2011-06-15,239.66     ,22990
2011-06-16,240.5      ,12380
2011-06-17,238.0      ,1020
2011-06-20,240.0      ,23690
2011-06-21,238.0      ,3650
2011-06-22,236.72     ,24530
2011-06-23,231.0      ,13220
2011-06-24,234.0      ,10640
2011-06-27,235.0      ,21250
2011-06-28,230.11     ,7060
2011-06-29,232.0      ,69490
2011-06-30,231.11     ,760
2011-07-01,234.93     ,9670
2011-07-04,230.63     ,950
2011-07-05,230.5      ,4680
2011-07-06,229.18     ,6650
2011-07-07,229.99     ,12580
2011-07-08,225.0      ,15690
2011-07-11,224.0      ,4030
2011-07-12,227.0      ,4090
2011-07-13,226.3      ,10430
2011-07-14,226.5      ,9420
2011-07-15,225.0      ,5510
2011-07-18,225.0      ,21610
2011-07-19,224.85     ,63470
2011-07-20,222.1      ,17570
2011-07-21,221.03     ,2530
2011-07-22,225.1      ,188950
2011-07-25,221.0      ,12000
2011-07-26,220.3      ,29020
2011-07-27,219.5      ,2500
2011-07-28,220.15     ,2430
2011-07-29,220.38     ,3370
2011-08-01,221.0      ,9330
2011-08-02,220.8      ,620
2011-08-03,213.2      ,13370
2011-08-04,208.08     ,5320
2011-08-05,197.88     ,7310
2011-08-08,182.0      ,30470
2011-08-09,165.14     ,88920
2011-08-10,158.0      ,54840
2011-08-11,158.0      ,93630
2011-08-12,167.96     ,62920
2011-08-15,167.0      ,15470
2011-08-16,163.86     ,6500
2011-08-17,164.98     ,62160
2011-08-18,156.99     ,132660
2011-08-19,153.34     ,9370
2011-08-22,150.9      ,13520
2011-08-23,152.0      ,9130
2011-08-24,155.33     ,13750
2011-08-25,154.0      ,19480
2011-08-26,152.94     ,9660
2011-08-29,161.97     ,50690
2011-08-30,160.9      ,14730
2011-08-31,163.0      ,90180
2011-09-01,169.48     ,44510
2011-09-02,176.19     ,191610
2011-09-05,172.9      ,43520
2011-09-06,176.32     ,23640
2011-09-07,177.03     ,48410
2011-09-08,177.0      ,134510
2011-09-09,175.99     ,31470
2011-09-12,176.0      ,30610
2011-09-13,176.0      ,9820
2011-09-14,175.61     ,18080
2011-09-15,173.98     ,23020
2011-09-16,172.79     ,7770
2011-09-19,168.65     ,96900
2011-09-20,168.0      ,52840
2011-09-21,166.99     ,10560
2011-09-22,157.0      ,137870
2011-09-23,155.0      ,53370
2011-09-26,157.49     ,85440
2011-09-27,158.01     ,20730
2011-09-28,156.99     ,64840
2011-09-29,159.95     ,41240
2011-09-30,156.98     ,58050
2011-10-03,156.0      ,34940
2011-10-04,152.0      ,478460
2011-10-05,152.39     ,132200
2011-10-06,152.5      ,206820
2011-10-07,152.9      ,72940
2011-10-10,159.98     ,112630
2011-10-11,159.5      ,108580
2011-10-12,158.11     ,82660
2011-10-13,157.5      ,77040
2011-10-14,157.71     ,17900
