DATE      ,CLOSE_PRICE,VOLUME
2003-10-06,           ,0
2003-10-07,           ,0
2003-10-08,           ,0
2003-10-09,           ,0
2003-10-10,           ,0
2003-10-13,           ,0
2003-10-14,           ,0
2003-10-15,127.6      ,51100
2003-10-16,127.52     ,11400
2003-10-17,129.3      ,27200
2003-10-20,126.0      ,19300
2003-10-21,123.01     ,10700
2003-10-22,117.02     ,12300
2003-10-23,117.0      ,13600
2003-10-24,           ,0
2003-10-27,113.0      ,100
2003-10-28,120.0      ,9200
2003-10-29,119.0      ,20600
2003-10-30,117.88     ,4500
2003-10-31,114.0      ,4200
2003-11-03,119.0      ,900
2003-11-04,122.0      ,2000
2003-11-05,           ,0
2003-11-06,119.19     ,100
2003-11-10,121.5      ,10300
2003-11-11,121.0      ,1900
2003-11-12,120.0      ,10000
2003-11-13,119.0      ,17400
2003-11-14,120.5      ,200
2003-11-17,           ,0
2003-11-18,109.0      ,1000
2003-11-19,114.5      ,100
2003-11-20,           ,0
2003-11-21,110.0      ,1000
2003-11-24,116.99     ,200
2003-11-25,           ,0
2003-11-26,118.0      ,152400
2003-11-27,118.0      ,3000
2003-11-28,117.0      ,5200
2003-12-01,120.0      ,1100
2003-12-02,123.0      ,5400
2003-12-03,116.0      ,2800
2003-12-04,           ,0
2003-12-05,115.0      ,1200
2003-12-08,           ,0
2003-12-09,120.0      ,6700
2003-12-10,117.0      ,58000
2003-12-11,115.0      ,377900
2003-12-15,114.0      ,72300
2003-12-16,110.0      ,5000
2003-12-17,111.98     ,500
2003-12-18,111.8      ,2600
2003-12-19,112.5      ,1500
2003-12-22,114.9      ,100
2003-12-23,114.0      ,100
2003-12-24,114.6      ,9500
2003-12-25,113.99     ,800
2003-12-26,114.0      ,600
2003-12-29,113.5      ,12700
2003-12-30,113.0      ,1000
2004-01-05,125.0      ,19300
2004-01-06,127.0      ,22400
2004-01-08,129.2      ,8700
2004-01-09,128.6      ,10200
2004-01-12,126.0      ,8483
2004-01-13,126.0      ,64645
2004-01-14,127.0      ,20244
2004-01-15,123.0      ,10454
2004-01-16,125.0      ,11259
2004-01-19,126.0      ,9904
2004-01-20,126.0      ,81921
2004-01-21,129.5      ,34536
2004-01-22,140.5      ,63471
2004-01-23,140.0      ,57802
2004-01-26,136.5      ,24341
2004-01-27,140.0      ,29979
2004-01-28,139.0      ,14721
2004-01-29,139.0      ,6493
2004-01-30,135.7      ,14363
2004-02-02,138.0      ,6916
2004-02-03,139.55     ,2882
2004-02-04,139.01     ,11543
2004-02-05,137.0      ,9848
2004-02-06,138.0      ,4037
2004-02-09,144.0      ,6604
2004-02-10,144.6      ,17095
2004-02-11,144.0      ,15086
2004-02-12,147.5      ,17263
2004-02-13,147.0      ,17914
2004-02-16,147.0      ,7781
2004-02-17,151.0      ,52407
2004-02-18,149.99     ,83766
2004-02-19,149.0      ,10395
2004-02-20,150.0      ,20885
2004-02-24,145.0      ,133089
2004-02-25,146.99     ,3704
2004-02-26,146.0      ,30135
2004-02-27,147.5      ,46923
2004-03-01,150.8      ,16946
2004-03-02,150.5      ,17762
2004-03-03,150.0      ,8746
2004-03-04,152.0      ,14911
2004-03-05,156.0      ,37319
2004-03-09,157.89     ,12457
2004-03-10,155.0      ,13382
2004-03-11,152.99     ,20005
2004-03-12,151.2      ,13032
2004-03-15,149.0      ,20544
2004-03-16,152.0      ,15731
2004-03-17,155.99     ,26920
2004-03-18,162.5      ,49353
2004-03-19,159.1      ,13639
2004-03-22,160.0      ,2433
2004-03-23,160.99     ,8384
2004-03-24,160.0      ,22448
2004-03-25,161.0      ,13738
2004-03-26,171.95     ,74365
2004-03-29,176.0      ,23391
2004-03-30,179.0      ,24600
2004-03-31,177.2      ,15613
2004-04-01,188.0      ,32825
2004-04-02,191.01     ,19196
2004-04-05,191.0      ,24593
2004-04-06,191.21     ,31970
2004-04-07,190.5      ,21865
2004-04-08,192.63     ,51733
2004-04-09,191.81     ,16645
2004-04-12,196.99     ,9929
2004-04-13,190.0      ,16566
2004-04-14,186.98     ,19364
2004-04-15,186.5      ,18361
2004-04-16,186.0      ,7277
2004-04-19,189.0      ,9559
2004-04-20,189.0      ,3862
2004-04-21,185.0      ,22100
2004-04-22,177.5      ,14954
2004-04-23,182.01     ,3959
2004-04-26,179.0      ,63448
2004-04-27,176.0      ,45672
2004-04-28,172.99     ,33633
2004-04-29,166.5      ,11383
2004-04-30,167.0      ,3758
2004-05-05,170.0      ,15748
2004-05-06,163.99     ,16537
2004-05-07,155.05     ,16389
2004-05-11,154.0      ,7546
2004-05-12,159.4      ,23062
2004-05-13,160.0      ,12209
2004-05-14,160.0      ,9469
2004-05-17,163.98     ,40010
2004-05-18,165.5      ,7896
2004-05-19,173.0      ,19254
2004-05-20,169.49     ,17020
2004-05-21,168.0      ,16487
2004-05-24,176.0      ,9482
2004-05-25,170.0      ,16769
2004-05-26,178.0      ,38654
2004-05-27,175.0      ,10581
2004-05-28,169.0      ,7441
2004-05-31,170.0      ,2931
2004-06-01,168.5      ,5371
2004-06-02,175.0      ,1883
2004-06-03,171.0      ,30695
2004-06-04,168.0      ,15858
2004-06-07,174.5      ,15259
2004-06-08,177.0      ,11237
2004-06-09,170.0      ,15973
2004-06-10,167.9      ,12449
2004-06-11,168.5      ,13964
2004-06-15,164.99     ,6661
2004-06-16,165.01     ,64831
2004-06-17,174.1      ,12044
2004-06-18,179.0      ,57004
2004-06-21,178.01     ,24723
2004-06-22,177.0      ,6841
2004-06-23,176.5      ,3549
2004-06-24,180.0      ,6088
2004-06-25,180.0      ,8205
2004-06-28,180.0      ,6611
2004-06-29,175.0      ,3926
2004-06-30,179.9      ,9150
2004-07-01,175.0      ,37697
2004-07-02,172.5      ,12100
2004-07-05,172.5      ,1929
2004-07-06,172.0      ,3827
2004-07-07,170.1      ,50743
2004-07-08,172.0      ,1395
2004-07-09,167.97     ,6245
2004-07-12,167.0      ,2084
2004-07-13,170.18     ,14231
2004-07-14,172.95     ,1134
2004-07-15,172.0      ,38892
2004-07-16,173.0      ,21217
2004-07-19,174.0      ,37988
2004-07-20,171.0      ,12029
2004-07-21,170.0      ,12608
2004-07-22,167.0      ,6447
2004-07-23,163.0      ,114924
2004-07-26,162.0      ,32186
