DATE      ,CLOSE_PRICE,VOLUME
2007-11-01,           ,0
2007-11-02,           ,0
2007-11-06,176.7      ,202
2007-11-07,174.23     ,211
2007-11-08,174.5      ,3
2007-11-09,172.0      ,97
2007-11-12,179.0      ,1554
2007-11-13,178.65     ,281
2007-11-14,171.0      ,2289
2007-11-15,189.99     ,518
2007-11-16,164.0      ,125
2007-11-19,160.7      ,77
2007-11-20,154.94     ,106
2007-11-21,           ,0
2007-11-22,150.0      ,115
2007-11-23,148.0      ,930
2007-11-26,145.5      ,118
2007-11-27,144.44     ,50
2007-11-28,145.1      ,1
2007-11-29,145.0      ,98
2007-11-30,149.0      ,75
2007-12-03,           ,0
2007-12-04,150.0      ,4002
2007-12-05,151.0      ,1510
2007-12-06,158.0      ,5516
2007-12-07,154.0      ,1600
2007-12-10,162.2      ,552
2007-12-11,           ,0
2007-12-12,172.0      ,1
2007-12-13,165.0      ,26
2007-12-14,161.0      ,25
2007-12-17,166.0      ,1531
2007-12-18,167.45     ,3451
2007-12-19,166.0      ,2
2007-12-20,170.0      ,1
2007-12-21,169.0      ,500
2007-12-24,172.0      ,657
2007-12-25,175.99     ,575
2007-12-26,173.0      ,104
2007-12-27,174.0      ,637
2007-12-28,178.38     ,1200
2008-01-09,177.03     ,33
2008-01-10,           ,0
2008-01-11,193.5      ,655
2008-01-14,187.0      ,1276
2008-01-15,188.99     ,11
2008-01-16,188.0      ,85
2008-01-17,183.75     ,206
2008-01-18,194.95     ,489
2008-01-21,186.55     ,389
2008-01-22,192.99     ,800
2008-01-23,170.0      ,1884
2008-01-24,170.0      ,1824
2008-01-25,170.0      ,982
2008-01-28,168.11     ,125
2008-01-29,164.0      ,264
2008-01-30,159.0      ,36
2008-01-31,162.0      ,705
2008-02-01,161.74     ,59
2008-02-04,164.36     ,288
2008-02-05,167.25     ,23
2008-02-06,167.52     ,1024
2008-02-07,160.01     ,12356
2008-02-08,167.0      ,14285
2008-02-11,168.0      ,4433
2008-02-12,174.5      ,109
2008-02-13,175.5      ,15
2008-02-14,175.0      ,614
2008-02-15,170.01     ,16
2008-02-18,174.5      ,845
2008-02-19,174.75     ,1527
2008-02-20,176.05     ,11213
2008-02-21,177.0      ,71
2008-02-22,176.0      ,1394
