DATE      ,CLOSE_PRICE,VOLUME
2011-07-18,13400.0    ,104
2011-07-19,12202.0    ,12
2011-07-20,11975.0    ,72
2011-07-21,12050.0    ,426
2011-07-22,12400.0    ,338
2011-07-25,12500.0    ,49
2011-07-26,12201.0    ,14
2011-07-27,11950.0    ,340
2011-07-28,12000.0    ,39
2011-07-29,11921.0    ,8
2011-08-01,11800.0    ,131
2011-08-02,11950.0    ,25
2011-08-03,11580.0    ,41
2011-08-04,11600.0    ,3
2011-08-05,11400.0    ,71
2011-08-08,11075.0    ,4
2011-08-09,10555.0    ,46
2011-08-10,10350.0    ,41
2011-08-11,10500.0    ,261
2011-08-12,10557.0    ,99
2011-08-15,10400.0    ,60
2011-08-16,10200.0    ,13
2011-08-17,10300.0    ,334
2011-08-18,10200.0    ,45
2011-08-19,10400.0    ,22
2011-08-22,9950.0     ,43
2011-08-23,10071.0    ,66
2011-08-24,10197.0    ,47
2011-08-25,10001.0    ,435
2011-08-26,10496.0    ,1018
2011-08-29,10937.0    ,2061
2011-08-30,10547.0    ,581
2011-08-31,11000.0    ,212
2011-09-01,10950.0    ,93
2011-09-02,10954.0    ,60
2011-09-05,11111.0    ,170
2011-09-06,11200.0    ,183
2011-09-07,12350.0    ,225
2011-09-08,12300.0    ,62
2011-09-09,12000.0    ,331
2011-09-12,11500.0    ,42
2011-09-13,11600.0    ,30
2011-09-14,11800.0    ,29
2011-09-15,12000.0    ,346
2011-09-16,12300.0    ,692
2011-09-19,12006.0    ,68
2011-09-20,12350.0    ,366
2011-09-21,12450.0    ,266
2011-09-22,11325.0    ,359
2011-09-23,10899.0    ,240
2011-09-26,11500.0    ,188
2011-09-27,11500.0    ,76
2011-09-28,11145.0    ,137
2011-09-29,11895.0    ,123
2011-09-30,11683.0    ,69
2011-10-03,11300.0    ,83
2011-10-04,10250.0    ,57
2011-10-05,10000.0    ,168
2011-10-06,10699.0    ,254
2011-10-07,11000.0    ,253
2011-10-10,11124.0    ,241
2011-10-11,10700.0    ,76
2011-10-12,11000.0    ,788
2011-10-13,11000.0    ,192
2011-10-14,11021.0    ,126
2011-10-17,10824.0    ,122
2011-10-18,11383.0    ,134
2011-10-19,11000.0    ,457
2011-10-20,10950.0    ,403
2011-10-21,11075.0    ,1387
2011-10-24,11094.0    ,409
2011-10-25,11000.0    ,1029
2011-10-26,11140.0    ,511
2011-10-27,11189.0    ,1926
2011-10-28,11299.0    ,314
2011-10-31,11256.0    ,127
2011-11-01,11252.0    ,257
2011-11-02,11300.0    ,36
2011-11-03,11114.0    ,161
2011-11-07,11150.0    ,9
2011-11-08,11029.0    ,91
2011-11-09,10816.0    ,252
2011-11-10,11000.0    ,221
2011-11-11,10900.0    ,251
2011-11-14,10898.0    ,104
2011-11-15,10928.0    ,70
2011-11-16,10888.0    ,263
2011-11-17,10773.0    ,119
2011-11-18,10595.0    ,89
2011-11-21,10300.0    ,209
2011-11-22,10377.0    ,298
2011-11-23,10100.0    ,43
2011-11-24,10000.0    ,141
2011-11-25,9724.0     ,274
2011-11-28,9850.0     ,302
2011-11-29,9784.0     ,154
2011-11-30,9750.0     ,668
2011-12-01,9635.0     ,177
2011-12-02,9450.0     ,467
2011-12-05,9500.0     ,149
2011-12-06,9201.0     ,95
2011-12-07,9000.0     ,519
2011-12-08,9198.0     ,334
2011-12-09,9500.0     ,800
2011-12-12,8997.0     ,249
2011-12-13,9000.0     ,91
2011-12-14,8570.0     ,402
2011-12-15,8400.0     ,886
2011-12-16,8390.0     ,224
2011-12-19,8201.0     ,44
2011-12-20,8200.0     ,63
2011-12-21,8250.0     ,40
2011-12-22,8150.0     ,69
2011-12-23,8000.0     ,147
2011-12-26,8100.0     ,70
2011-12-27,8050.0     ,41
2011-12-28,7803.0     ,104
2011-12-29,7894.0     ,53
2011-12-30,8197.0     ,84
2012-01-03,8500.0     ,75
2012-01-04,8203.0     ,38
2012-01-05,8100.0     ,55
2012-01-06,8400.0     ,43
2012-01-09,8102.0     ,18
2012-01-10,8385.0     ,117
2012-01-11,8290.0     ,58
2012-01-12,8200.0     ,70
2012-01-13,8120.0     ,90
