DATE      ,CLOSE_PRICE,VOLUME
2010-04-27,           ,0
2010-04-28,           ,0
2010-04-29,120.0      ,31308
2010-04-30,114.49     ,45756
2010-05-04,116.3      ,15694
2010-05-05,116.99     ,9474
2010-05-06,116.0      ,16366
2010-05-07,110.99     ,4223
2010-05-11,105.21     ,2615
2010-05-12,107.98     ,24853
2010-05-13,108.5      ,5950
2010-05-14,120.0      ,17065
2010-05-17,118.0      ,18622
2010-05-18,117.47     ,5999
2010-05-19,114.52     ,3468
2010-05-20,114.99     ,2125
2010-05-21,111.96     ,7741
2010-05-24,112.21     ,1169
2010-05-25,106.0      ,6567
2010-05-26,110.85     ,253
2010-05-27,105.48     ,22603
2010-05-28,105.0      ,12811
2010-05-31,107.0      ,6205
2010-06-01,107.0      ,7412
2010-06-02,107.5      ,84445
2010-06-03,108.94     ,28747
2010-06-04,107.79     ,9259
2010-06-07,108.2      ,6514
2010-06-08,105.29     ,6935
2010-06-09,106.98     ,2429
2010-06-10,104.5      ,20308
2010-06-11,101.0      ,23314
2010-06-15,100.0      ,30104
2010-06-16,99.5       ,46591
2010-06-17,98.89      ,15320
2010-06-18,98.5       ,19415
2010-06-21,98.75      ,32494
2010-06-22,97.35      ,15973
2010-06-23,97.1       ,7694
2010-06-24,95.99      ,101
2010-06-25,102.23     ,227892
2010-06-28,101.5      ,5450
2010-06-29,101.5      ,48462
2010-06-30,101.0      ,187463
2010-07-01,101.0      ,53
2010-07-02,102.48     ,4089
2010-07-05,100.99     ,452
2010-07-06,104.5      ,20157
2010-07-07,104.69     ,68
2010-07-08,107.25     ,1024
2010-07-09,111.99     ,1509
2010-07-12,112.7      ,1180
2010-07-13,114.0      ,3155
2010-07-14,113.23     ,243
2010-07-15,114.21     ,15609
2010-07-16,114.17     ,193
2010-07-19,113.0      ,5837
2010-07-20,113.0      ,3
2010-07-21,116.29     ,264
2010-07-22,115.0      ,33
2010-07-23,115.0      ,27272
2010-07-26,113.04     ,20158
2010-07-27,117.99     ,20676
2010-07-28,117.95     ,209
2010-07-29,116.67     ,6400
2010-07-30,118.7      ,2674
2010-08-02,118.66     ,36251
2010-08-03,119.99     ,4966
2010-08-04,117.98     ,28807
2010-08-05,117.37     ,31
2010-08-06,118.0      ,6488
2010-08-09,118.5      ,7476
2010-08-10,116.0      ,18372
2010-08-11,115.5      ,4643
2010-08-12,114.8      ,4992
2010-08-13,113.0      ,6918
2010-08-16,112.7      ,11
2010-08-17,113.0      ,110985
2010-08-18,113.0      ,4563
2010-08-19,112.99     ,2726
2010-08-20,111.0      ,19580
2010-08-23,111.97     ,53
2010-08-24,114.5      ,27
2010-08-25,112.17     ,1026
2010-08-26,111.43     ,4
2010-08-27,109.95     ,13771
2010-08-30,109.71     ,38
2010-08-31,109.7      ,3506
2010-09-01,107.0      ,1215
2010-09-02,105.0      ,151381
2010-09-03,104.5      ,8887
2010-09-06,104.0      ,12906
2010-09-07,104.0      ,17
2010-09-08,97.67      ,178668
2010-09-09,93.0       ,216411
2010-09-10,83.89      ,407351
2010-09-13,79.59      ,172474
2010-09-14,65.99      ,424407
2010-09-15,64.5       ,601833
2010-09-16,65.65      ,748859
2010-09-17,66.35      ,721860
2010-09-20,68.1       ,473975
2010-09-21,68.22      ,101421
2010-09-22,68.45      ,1345514
2010-09-23,66.5       ,185040
2010-09-24,65.59      ,95350
2010-09-27,62.34      ,528619
2010-09-28,62.7       ,199965
2010-09-29,62.33      ,110158
2010-09-30,61.65      ,179348
2010-10-01,60.38      ,332195
2010-10-04,59.41      ,353926
2010-10-05,57.5       ,346492
2010-10-06,57.74      ,232716
2010-10-07,57.15      ,223465
2010-10-08,57.65      ,297639
2010-10-11,58.24      ,230403
2010-10-12,58.1       ,209060
2010-10-13,61.0       ,831848
2010-10-14,58.64      ,901214
2010-10-15,57.5       ,311797
2010-10-18,58.23      ,679592
2010-10-19,58.0       ,199572
2010-10-20,56.85      ,181142
2010-10-21,56.77      ,117200
2010-10-22,55.8       ,179383
2010-10-25,56.45      ,178144
2010-10-26,55.35      ,132588
2010-10-27,53.93      ,183570
2010-10-28,53.4       ,436560
2010-10-29,55.98      ,779601
2010-11-01,55.99      ,142022
2010-11-02,55.18      ,94161
2010-11-03,54.79      ,51218
2010-11-08,55.3       ,89094
2010-11-09,56.19      ,399335
2010-11-10,58.62      ,607494
2010-11-11,62.95      ,1168371
2010-11-12,63.09      ,560096
2010-11-13,62.28      ,102119
2010-11-15,63.0       ,166806
2010-11-16,63.29      ,424389
2010-11-17,64.4       ,655557
2010-11-18,64.25      ,129124
2010-11-19,64.6       ,142921
2010-11-22,64.1       ,220688
2010-11-23,63.94      ,210331
2010-11-24,63.65      ,200483
2010-11-25,65.7       ,1570416
2010-11-26,66.59      ,664058
2010-11-29,66.09      ,203905
2010-11-30,66.2       ,143453
2010-12-01,68.11      ,239721
2010-12-02,67.98      ,178539
