DATE      ,CLOSE_PRICE        ,VOLUME
2008-12-09,0.527              ,2632000
2008-12-10,0.512              ,7863800
2008-12-11,0.505              ,3347600
2008-12-12,0.49200000000000005,1170600
2008-12-15,0.496              ,298100
2008-12-16,0.45299999999999996,5794300
2008-12-17,0.408              ,2530700
2008-12-18,0.381              ,2983800
2008-12-19,0.397              ,4298200
2008-12-22,0.374              ,1817400
2008-12-23,0.36200000000000004,2985800
2008-12-24,0.36               ,275700
2008-12-25,0.348              ,931500
2008-12-26,0.326              ,1983100
2008-12-29,0.33299999999999996,710600
2008-12-30,0.348              ,2217200
2008-12-31,0.34               ,1729100
2009-01-11,0.345              ,651500
2009-01-12,0.349              ,733400
2009-01-13,0.336              ,1065000
2009-01-14,0.321              ,2570300
2009-01-15,0.34299999999999997,1190300
2009-01-16,0.349              ,1487700
2009-01-19,0.35               ,2002200
2009-01-20,0.34               ,1513100
2009-01-21,0.354              ,1490000
2009-01-22,0.34700000000000003,1002800
2009-01-23,0.34299999999999997,3520600
2009-01-26,0.353              ,1446500
2009-01-27,0.354              ,714500
2009-01-28,0.34700000000000003,255100
2009-01-29,0.341              ,38800
2009-01-30,0.34700000000000003,673300
2009-02-02,0.33799999999999997,2231200
2009-02-03,0.34               ,1534500
2009-02-04,0.349              ,1443800
2009-02-05,0.35200000000000004,6510100
2009-02-06,0.365              ,335700
2009-02-09,0.37               ,1358400
2009-02-10,0.376              ,167000
2009-02-11,0.38799999999999996,872700
2009-02-12,0.401              ,3853400
2009-02-13,0.429              ,846400
2009-02-16,0.4                ,2694100
2009-02-17,0.4                ,1294700
2009-02-18,0.39899999999999997,607500
2009-02-19,0.38799999999999996,989000
2009-02-20,0.39               ,1887000
2009-02-24,0.408              ,2356700
2009-02-25,0.42100000000000004,501200
2009-02-26,0.43               ,1537200
2009-02-27,0.428              ,1274400
2009-03-02,0.41200000000000003,3498100
2009-03-03,0.419              ,1981400
2009-03-04,0.409              ,50500
2009-03-05,0.38               ,2079500
2009-03-06,0.39799999999999996,1274600
2009-03-10,0.409              ,6174500
2009-03-11,0.44               ,1536300
2009-03-12,0.409              ,1315600
2009-03-13,0.409              ,129300
2009-03-16,0.409              ,123700
2009-03-17,0.415              ,2138000
2009-03-18,0.41100000000000003,3096900
2009-03-19,0.40700000000000003,2766800
2009-03-20,0.413              ,1499800
2009-03-23,0.41200000000000003,2553800
2009-03-24,0.4                ,347200
2009-03-25,0.418              ,4858400
2009-03-26,0.444              ,1675300
2009-03-27,0.42100000000000004,725100
2009-03-30,0.40700000000000003,963000
2009-03-31,0.41               ,1258300
2009-04-01,0.423              ,784800
2009-04-02,0.436              ,3644000
2009-04-03,0.419              ,1193100
2009-04-06,0.41200000000000003,1790900
2009-04-07,0.424              ,2689800
2009-04-08,0.42200000000000004,667100
2009-04-09,0.42               ,1177300
2009-04-10,0.43               ,2864800
2009-04-13,0.433              ,6923700
2009-04-14,0.46399999999999997,4136000
2009-04-15,0.44799999999999995,2174700
2009-04-16,0.514              ,12250400
2009-04-17,0.546              ,15377900
2009-04-20,0.501              ,5111100
2009-04-21,0.503              ,415900
2009-04-22,0.5529999999999999 ,6544600
2009-04-23,0.568              ,969800
2009-04-24,0.565              ,9737800
2009-04-27,0.545              ,3791800
2009-04-28,0.519              ,5763900
2009-04-29,0.5589999999999999 ,3911800
2009-04-30,0.613              ,8720600
2009-05-04,0.638              ,1585300
2009-05-05,0.613              ,4367700
2009-05-06,0.6609999999999999 ,3935600
2009-05-07,0.72               ,26537300
2009-05-08,0.718              ,3405600
2009-05-12,0.705              ,2297600
2009-05-13,0.7                ,2862100
2009-05-14,0.69               ,485100
2009-05-15,0.664              ,3414800
2009-05-18,0.675              ,425600
2009-05-19,0.69               ,1803200
2009-05-20,0.718              ,2138200
2009-05-21,0.67               ,733200
2009-05-22,0.674              ,546900
2009-05-25,0.679              ,2843500
2009-05-26,0.69               ,1219700
2009-05-27,0.721              ,1188400
2009-05-28,0.762              ,3448700
2009-05-29,0.8190000000000001 ,6986900
2009-06-01,0.9                ,5434400
2009-06-02,0.88               ,1454100
2009-06-03,0.909              ,3976500
2009-06-04,0.87               ,2686500
2009-06-05,0.888              ,1223500
2009-06-08,0.909              ,2806700
2009-06-09,0.9159999999999999 ,4077000
2009-06-10,0.937              ,6518700
2009-06-11,0.9420000000000001 ,1221600
2009-06-15,0.8959999999999999 ,4475100
2009-06-16,0.91               ,1418700
2009-06-17,0.885              ,2736200
2009-06-18,0.88               ,2481700
2009-06-19,0.84               ,2188100
2009-06-22,0.774              ,1925600
2009-06-23,0.795              ,3533700
2009-06-24,0.8                ,3047100
2009-06-25,0.8                ,1385300
2009-06-26,0.77               ,281900
2009-06-29,0.7759999999999999 ,652400
2009-06-30,0.78               ,9900
2009-07-01,0.83               ,5248400
2009-07-02,0.782              ,714200
2009-07-03,0.83               ,4250400
2009-07-06,0.8                ,984300
2009-07-07,0.826              ,2472000
2009-07-08,0.785              ,1036900
2009-07-09,0.753              ,853200
2009-07-10,0.789              ,2275700
2009-07-13,0.755              ,950500
2009-07-14,0.76               ,650200
2009-07-15,0.755              ,165700
2009-07-16,0.733              ,31800
2009-07-17,0.731              ,59700
2009-07-20,0.737              ,52600
2009-07-21,0.7829999999999999 ,206200
2009-07-22,0.745              ,371500
2009-07-23,0.778              ,735000
2009-07-24,0.7829999999999999 ,622700
2009-07-27,0.83               ,1023900
2009-07-28,0.79               ,149200
2009-07-29,0.784              ,19600
2009-07-30,0.8240000000000001 ,2515500
2009-07-31,0.816              ,192700
2009-08-03,0.81               ,2763300
2009-08-04,0.8290000000000001 ,1478100
2009-08-05,0.825              ,2665200
2009-08-06,0.8170000000000001 ,1772000
2009-08-07,0.812              ,259800
2009-08-10,0.8190000000000001 ,448600
2009-08-11,0.8290000000000001 ,498700
2009-08-12,0.816              ,134200
2009-08-13,0.8370000000000001 ,1007300
2009-08-14,0.818              ,874800
2009-08-17,0.82               ,3910700
2009-08-18,0.83               ,2378700
2009-08-19,0.818              ,108400
2009-08-20,0.848              ,1622800
2009-08-21,0.847              ,822700
2009-08-24,0.862              ,5494500
2009-08-25,0.878              ,768200
2009-08-26,0.88               ,5990100
2009-08-27,0.8490000000000001 ,829500
2009-08-28,0.948              ,20484300
2009-08-31,0.925              ,4016800
2009-09-01,0.912              ,2369300
2009-09-02,0.89               ,498400
2009-09-03,0.9279999999999999 ,685100
2009-09-04,0.9                ,368100
2009-09-07,0.897              ,809400
2009-09-08,0.91               ,1054800
2009-09-09,0.966              ,4237400
2009-09-10,0.9690000000000001 ,2426100
2009-09-11,1.092              ,7908900
2009-09-14,1.19               ,8225600
2009-09-15,1.365              ,7405100
2009-09-16,1.252              ,1469700
2009-09-17,1.19               ,680100
2009-09-18,1.248              ,575200
2009-09-21,1.227              ,2264300
2009-09-22,1.27               ,1278600
2009-09-23,1.295              ,1260100
2009-09-24,1.26               ,471100
2009-09-25,1.3                ,7604400
2009-09-28,1.345              ,1249900
2009-09-29,1.4769999999999999 ,6220200
2009-09-30,1.517              ,4794900
2009-10-01,1.65               ,12196600
2009-10-02,1.55               ,15166300
2009-10-05,1.5319999999999998 ,1075800
2009-10-06,1.545              ,1862500
2009-10-07,1.615              ,6712900
2009-10-08,1.81               ,9255000
2009-10-09,1.7830000000000001 ,4084500
2009-10-12,1.755              ,1332500
2009-10-13,1.71               ,2872500
2009-10-14,1.798              ,5338500
2009-10-15,1.849              ,5886000
2009-10-16,1.868              ,6474300
2009-10-19,1.858              ,2834300
2009-10-20,1.859              ,1890000
2009-10-21,1.858              ,5365600
2009-10-22,1.851              ,4156700
2009-10-23,1.96               ,3664400
2009-10-26,1.96               ,3184000
2009-10-27,1.88               ,3772800
2009-10-28,1.7990000000000002 ,5379200
2009-10-29,1.7890000000000001 ,3227800
2009-10-30,1.7                ,1810400
2009-11-02,1.725              ,885100
2009-11-03,1.662              ,1488500
2009-11-05,1.699              ,579800
2009-11-06,1.66               ,1169100
2009-11-09,1.7480000000000002 ,1961300
2009-11-10,1.796              ,659700
2009-11-11,1.91               ,4559000
2009-11-12,1.92               ,2768100
2009-11-13,1.939              ,922100
2009-11-16,2.012              ,2776600
2009-11-17,2.017              ,1887900
2009-11-18,2.015              ,5041800
2009-11-19,2.075              ,3924700
2009-11-20,2.07               ,1475400
2009-11-23,2.138              ,2684700
2009-11-24,2.1                ,4117100
2009-11-25,2.096              ,3941900
2009-11-26,1.95               ,2126200
2009-11-27,1.99               ,4581400
2009-11-30,1.96               ,939400
2009-12-01,2.125              ,3498900
2009-12-02,2.15               ,1117500
2009-12-03,2.193              ,2252100
2009-12-04,2.188              ,1720500
2009-12-07,2.127              ,1080700
2009-12-08,2.116              ,2055600
2009-12-09,2.077              ,477500
2009-12-10,2.103              ,685500
2009-12-11,2.148              ,1238800
2009-12-14,2.112              ,628800
2009-12-15,2.135              ,557600
2009-12-16,2.174              ,3944100
2009-12-17,2.2230000000000003 ,7965700
2009-12-18,2.246              ,1280800
2009-12-21,2.194              ,1518900
2009-12-22,2.219              ,820700
2009-12-23,2.189              ,2123300
2009-12-24,2.194              ,1817600
2009-12-25,2.17               ,1148200
2009-12-28,2.145              ,1984700
2009-12-29,2.146              ,615100
2009-12-30,2.17               ,627900
2009-12-31,2.186              ,219300
2010-01-11,2.267              ,706400
2010-01-12,2.2769999999999997 ,207800
2010-01-13,2.5540000000000003 ,9027200
2010-01-14,2.7                ,15451700
2010-01-15,2.832              ,10671600
2010-01-18,2.85               ,6323200
2010-01-19,2.85               ,6996700
2010-01-20,2.815              ,2348400
2010-01-21,2.737              ,1162100
2010-01-22,2.6310000000000002 ,1953300
2010-01-25,2.7                ,1518300
2010-01-26,2.6919999999999997 ,4162700
2010-01-27,2.82               ,3193000
2010-01-28,2.835              ,4383000
2010-01-29,2.787              ,2123900
2010-02-01,2.7439999999999998 ,957400
2010-02-02,2.806              ,2088600
2010-02-03,2.838              ,2939500
2010-02-04,2.7460000000000004 ,1829400
2010-02-05,2.722              ,1696700
2010-02-08,2.7089999999999996 ,1964500
2010-02-09,2.8                ,3639100
2010-02-10,2.77               ,8158300
2010-02-11,2.639              ,5596300
2010-02-12,2.529              ,3689800
2010-02-15,2.523              ,1059600
2010-02-16,2.676              ,1648400
2010-02-17,2.659              ,746500
2010-02-18,2.69               ,1427100
2010-02-19,2.6660000000000004 ,1477300
2010-02-24,2.655              ,952100
2010-02-25,2.633              ,1417100
2010-02-26,2.628              ,772900
2010-02-27,2.63               ,653400
2010-03-01,2.5989999999999998 ,8984800
2010-03-02,2.5989999999999998 ,1680600
2010-03-03,2.636              ,2623100
2010-03-04,2.66               ,3086500
2010-03-05,2.719              ,5142600
2010-03-09,2.738              ,1175200
2010-03-10,2.718              ,5033700
2010-03-11,2.72               ,2228000
2010-03-12,2.75               ,4408800
2010-03-15,2.82               ,8217900
2010-03-16,2.897              ,8082200
2010-03-17,2.97               ,11110000
2010-03-18,2.946              ,7822800
2010-03-19,2.988              ,9234500
2010-03-22,2.9389999999999996 ,8360300
2010-03-23,2.949              ,4083400
2010-03-24,2.932              ,2194600
2010-03-25,2.93               ,2541400
2010-03-26,2.929              ,4654600
2010-03-29,2.92               ,4297800
2010-03-30,2.95               ,3658100
2010-03-31,3.0660000000000003 ,21236200
2010-04-01,3.3939999999999997 ,33885000
2010-04-02,3.5460000000000003 ,17732100
2010-04-05,3.76               ,17464000
2010-04-06,3.74               ,12001800
2010-04-07,3.545              ,9634500
2010-04-08,3.615              ,6155100
2010-04-09,3.65               ,4382100
2010-04-12,3.6189999999999998 ,4190500
2010-04-13,3.5439999999999996 ,3842200
2010-04-14,3.575              ,1531200
2010-04-15,3.46               ,1998800
2010-04-16,3.324              ,3513000
2010-04-19,3.27               ,6238600
2010-04-20,3.3280000000000003 ,5203100
2010-04-21,3.239              ,1803100
2010-04-22,3.178              ,849400
2010-04-23,3.2880000000000003 ,1714200
2010-04-26,3.38               ,5112200
2010-04-27,3.26               ,2253300
2010-04-28,3.213              ,4639700
2010-04-29,3.208              ,1415700
2010-04-30,3.195              ,1873200
2010-05-04,3.178              ,2098500
2010-05-05,3.095              ,3065000
2010-05-06,3.109              ,2418900
2010-05-07,2.9                ,4927800
2010-05-11,3.0189999999999997 ,1899400
2010-05-12,3.069              ,3128000
2010-05-13,3.0                ,5682000
2010-05-14,2.95               ,7
2010-05-17,2.8989999999999996 ,1874800
2010-05-18,2.93               ,939700
2010-05-19,2.824              ,961300
2010-05-20,2.66               ,1849100
2010-05-21,2.5989999999999998 ,2127300
2010-05-24,2.667              ,3079800
2010-05-25,2.509              ,1242800
2010-05-26,2.6489999999999996 ,1255100
2010-05-27,2.781              ,1567300
2010-05-28,2.785              ,1039500
2010-05-31,2.764              ,2097700
2010-06-01,2.77               ,2320200
2010-06-02,2.8480000000000003 ,4183100
2010-06-03,2.909              ,9370000
2010-06-04,2.782              ,1650300
2010-06-07,2.717              ,688000
2010-06-08,2.67               ,1215000
2010-06-09,2.65               ,1135900
2010-06-10,2.665              ,3291400
2010-06-11,2.539              ,2766000
2010-06-15,2.602              ,9829500
2010-06-16,2.6                ,3113600
2010-06-17,2.5839999999999996 ,9830000
2010-06-18,2.612              ,2044500
2010-06-21,2.6510000000000002 ,3174900
2010-06-22,2.6010000000000004 ,1369500
2010-06-23,2.589              ,614300
2010-06-24,2.57               ,807100
2010-06-25,2.492              ,1570600
2010-06-28,2.506              ,503600
2010-06-29,2.45               ,2500100
2010-06-30,2.447              ,1554700
2010-07-01,2.423              ,2326500
2010-07-02,2.4419999999999997 ,154600
