TRADEDATE ,CLOSE ,VOLUME
2003-10-01,36.99 ,346303
2003-10-02,37.78 ,1078042
2003-10-03,36.65 ,454271
2003-10-06,36.57 ,219649
2003-10-07,36.6  ,235169
2003-10-08,38.5  ,838857
2003-10-09,40.01 ,799463
2003-10-10,39.39 ,318973
2003-10-13,39.7  ,478311
2003-10-14,39.94 ,728983
2003-10-15,40.1  ,756692
2003-10-16,41.9  ,1427331
2003-10-17,43.95 ,1531584
2003-10-20,43.94 ,1583623
2003-10-21,41.31 ,999340
2003-10-22,40.35 ,223271
2003-10-23,40.9  ,220276
2003-10-24,41.79 ,219658
2003-10-27,37.4  ,1217732
2003-10-28,37.83 ,741604
2003-10-29,38.06 ,651901
2003-10-30,35.0  ,1049221
2003-10-31,36.35 ,656923
2003-11-03,39.0  ,1019782
2003-11-04,38.29 ,575860
2003-11-05,37.72 ,169248
2003-11-06,37.47 ,282630
2003-11-10,38.0  ,981471
2003-11-11,36.7  ,1002216
2003-11-12,35.51 ,573340
2003-11-13,35.9  ,314947
2003-11-14,35.97 ,361075
2003-11-17,34.82 ,419560
2003-11-18,33.85 ,528315
2003-11-19,33.93 ,689777
2003-11-20,35.4  ,660609
2003-11-21,35.41 ,412019
2003-11-24,35.76 ,452253
2003-11-25,37.24 ,745302
2003-11-26,37.17 ,371798
2003-11-27,36.96 ,301473
2003-11-28,37.05 ,793474
2003-12-01,37.45 ,270739
2003-12-02,38.85 ,424458
2003-12-03,39.05 ,605315
2003-12-04,38.81 ,341761
2003-12-05,39.2  ,580044
2003-12-08,40.11 ,469094
2003-12-09,39.9  ,543068
2003-12-10,39.95 ,599228
2003-12-11,39.9  ,490273
2003-12-15,40.45 ,475641
2003-12-16,39.85 ,448639
2003-12-17,39.23 ,593166
2003-12-18,39.88 ,381280
2003-12-19,40.29 ,716744
2003-12-22,40.04 ,137666
2003-12-23,40.04 ,821269
2003-12-24,40.0  ,363100
2003-12-25,39.9  ,521780
2003-12-26,40.29 ,552116
2003-12-29,40.65 ,506605
2003-12-30,41.59 ,767668
2004-01-05,42.35 ,398411
2004-01-06,42.62 ,333633
2004-01-08,41.76 ,561974
2004-01-09,42.84 ,268261
2004-01-12,41.95 ,152287
2004-01-13,41.36 ,265274
2004-01-14,42.17 ,273734
2004-01-15,41.52 ,162275
2004-01-16,42.1  ,179084
