TRADEDATE ,CLOSE ,VOLUME
2007-07-20,109.2 ,20252489
2007-07-23,112.0 ,35092029
2007-07-24,109.53,31762001
2007-07-25,109.63,39700937
2007-07-26,104.18,49871205
2007-07-27,102.41,53701139
2007-07-30,102.0 ,30588468
2007-07-31,105.5 ,33104685
2007-08-01,101.59,36540554
2007-08-02,102.3 ,21543291
2007-08-03,102.28,28804333
2007-08-06,100.54,28262733
2007-08-07,100.65,25686257
2007-08-08,102.8 ,33687905
2007-08-09,99.57 ,50632563
2007-08-10,95.55 ,73831375
2007-08-13,97.39 ,38498696
2007-08-14,96.85 ,19560275
2007-08-15,94.5  ,29370438
2007-08-16,90.51 ,65443811
2007-08-17,94.8  ,110926448
2007-08-20,93.19 ,41541526
2007-08-21,91.4  ,65782084
2007-08-22,93.6  ,43932753
2007-08-23,94.27 ,61299120
2007-08-24,93.81 ,36066126
2007-08-27,95.11 ,36756341
2007-08-28,94.4  ,28495785
2007-08-29,93.94 ,34123232
2007-08-30,94.3  ,37770842
2007-08-31,97.39 ,47178848
2007-09-03,98.0  ,34359858
2007-09-04,97.2  ,23584547
2007-09-05,95.0  ,33637329
2007-09-06,96.51 ,36591090
2007-09-07,94.2  ,39220174
2007-09-10,94.09 ,28743056
2007-09-11,94.92 ,12315459
2007-09-12,94.2  ,20299133
2007-09-13,96.33 ,26802375
2007-09-14,96.1  ,30271899
2007-09-17,94.87 ,22013422
2007-09-18,97.4  ,37470457
2007-09-19,103.77,119839393
2007-09-20,102.3 ,65159209
2007-09-21,101.83,46159883
2007-09-24,101.85,46799069
2007-09-25,98.58 ,43550292
2007-09-26,100.89,40172687
2007-09-27,102.15,52751775
2007-09-28,103.5 ,40677443
2007-10-01,100.98,36133332
2007-10-02,104.89,67372708
2007-10-03,103.31,76226288
2007-10-04,100.65,95390560
2007-10-05,102.3 ,60845570
2007-10-08,103.82,67202150
2007-10-09,105.7 ,57990875
2007-10-10,105.73,57917651
2007-10-11,107.8 ,82261544
2007-10-12,108.5 ,59678525
2007-10-15,109.9 ,51264073
2007-10-16,109.2 ,54934309
2007-10-17,108.44,39268211
2007-10-18,106.75,38999334
2007-10-19,107.41,38823387
2007-10-22,105.5 ,55190297
2007-10-23,106.66,36590796
2007-10-24,105.6 ,42236479
2007-10-25,106.9 ,57603123
2007-10-26,107.75,48609803
2007-10-29,106.45,60840314
2007-10-30,104.3 ,117972374
2007-10-31,106.48,58405559
2007-11-01,106.28,78386861
2007-11-02,105.99,61442118
2007-11-06,106.7 ,37346394
2007-11-07,106.58,44531876
2007-11-08,106.9 ,43788775
2007-11-09,105.25,34402492
2007-11-12,106.0 ,31045779
2007-11-13,105.15,34403599
2007-11-14,105.41,50181635
2007-11-15,105.11,20507297
2007-11-16,103.6 ,37260960
2007-11-19,102.25,25078840
2007-11-20,101.55,33982927
2007-11-21,99.3  ,49899990
2007-11-22,97.36 ,67837106
2007-11-23,99.26 ,54542396
2007-11-26,101.49,79987259
2007-11-27,100.15,52717849
2007-11-28,101.14,46443474
2007-11-29,102.35,62139049
2007-11-30,103.74,48949532
2007-12-03,103.8 ,36088675
2007-12-04,102.98,36266335
2007-12-05,104.28,47975356
2007-12-06,103.99,63132559
2007-12-07,104.8 ,46921506
2007-12-10,106.99,78996378
2007-12-11,108.2 ,84664046
2007-12-12,108.45,64954772
2007-12-13,106.0 ,62633715
2007-12-14,104.7 ,42936997
2007-12-17,103.58,46569912
2007-12-18,105.44,34675875
2007-12-19,105.52,37200666
2007-12-20,105.97,37644182
2007-12-21,105.69,38255537
2007-12-24,105.37,25144952
2007-12-25,103.7 ,19663119
2007-12-26,103.62,22135075
2007-12-27,103.8 ,21406392
2007-12-28,102.0 ,18102370
2008-01-09,101.85,32144450
2008-01-10,103.53,39813229
2008-01-11,104.7 ,32837601
2008-01-14,105.0 ,20744106
2008-01-15,105.71,51445207
2008-01-16,101.8 ,65607634
2008-01-17,101.0 ,74363206
2008-01-18,98.8  ,74547281
2008-01-21,91.25 ,80769882
2008-01-22,93.0  ,113473966
2008-01-23,90.5  ,76371931
2008-01-24,96.5  ,93757954
2008-01-25,94.3  ,98543849
2008-01-28,89.53 ,66824712
2008-01-29,94.21 ,73951740
2008-01-30,91.99 ,55691874
2008-01-31,87.89 ,75801654
2008-02-01,90.2  ,88648528
2008-02-04,90.8  ,47218805
2008-02-05,87.2  ,82283837
2008-02-06,88.2  ,73604512
2008-02-07,84.89 ,86346420
2008-02-08,83.89 ,85649642
2008-02-11,83.2  ,57778854
2008-02-12,85.39 ,101165440
2008-02-13,85.45 ,90124443
2008-02-14,85.46 ,96961766
2008-02-15,83.4  ,61013087
2008-02-18,84.84 ,39852006
2008-02-19,85.0  ,79491901
2008-02-20,83.09 ,61640448
2008-02-21,83.75 ,77205207
2008-02-22,82.99 ,62320469
2008-02-26,85.1  ,81363764
2008-02-27,83.78 ,60785001
2008-02-28,82.95 ,35577473
2008-02-29,80.2  ,78340523
2008-03-03,78.7  ,88689891
2008-03-04,76.5  ,84997432
2008-03-05,78.32 ,96752185
2008-03-06,77.1  ,83344172
2008-03-07,74.86 ,74155141
2008-03-11,78.6  ,118123898
2008-03-12,78.5  ,93441928
2008-03-13,75.9  ,74414680
2008-03-14,76.77 ,129787039
2008-03-17,72.81 ,114770781
2008-03-18,74.58 ,136860978
2008-03-19,74.5  ,166466662
2008-03-20,73.75 ,100512042
2008-03-21,74.46 ,47616780
2008-03-24,77.68 ,74242525
2008-03-25,75.0  ,130022282
2008-03-26,72.98 ,99020707
2008-03-27,72.95 ,137814078
