DATE      ,CLOSE_PRICE         ,VOLUME
2007-03-21,                    ,0
2007-03-22,                    ,0
2007-03-23,                    ,0
2007-03-26,0.348               ,100
2007-03-27,                    ,0
2007-03-28,                    ,0
2007-03-29,0.453               ,5304700
2007-03-30,0.84                ,35766200
2007-04-02,0.952               ,14902400
2007-04-03,0.802               ,10243200
2007-04-04,0.55                ,78053300
2007-04-05,0.52                ,21881100
2007-04-06,0.5                 ,15377500
2007-04-09,0.425               ,46888900
2007-04-10,0.461               ,30918400
2007-04-11,0.4370000000000001  ,16892800
2007-04-12,0.42                ,45951300
2007-04-13,0.412               ,16740400
2007-04-16,0.435               ,23787600
2007-04-17,0.429               ,8197800
2007-04-18,0.411               ,6363800
2007-04-19,0.415               ,3152400
2007-04-20,0.422               ,4480700
2007-04-23,0.417               ,6308900
2007-04-24,0.414               ,1432800
2007-04-25,0.411               ,6691900
2007-04-26,0.405               ,18359300
2007-04-27,0.391               ,7420900
2007-04-28,0.385               ,3691800
2007-05-02,0.385               ,1284900
2007-05-03,0.388               ,3049700
2007-05-04,0.407               ,10342900
2007-05-07,0.401               ,15612600
2007-05-08,0.377               ,26894800
2007-05-10,0.363               ,8141600
2007-05-11,0.368               ,13932300
2007-05-14,0.366               ,2114500
2007-05-15,0.3670000000000001  ,4204900
2007-05-16,0.366               ,1793700
2007-05-17,0.369               ,4058500
2007-05-18,0.37                ,818900
2007-05-21,0.371               ,1428100
2007-05-22,0.363               ,2320100
2007-05-23,0.36                ,1973200
2007-05-24,0.355               ,4961400
2007-05-25,0.354               ,5737700
2007-05-28,0.35                ,3798500
2007-05-29,0.342               ,2671300
2007-05-30,0.345               ,2122700
2007-05-31,0.34600000000000003 ,1362400
2007-06-01,0.34700000000000003 ,1139600
2007-06-04,0.353               ,5536800
2007-06-05,0.349               ,1512400
2007-06-06,0.345               ,335300
2007-06-07,0.34                ,1355800
2007-06-08,0.337               ,1854500
2007-06-09,0.348               ,741300
2007-06-13,0.366               ,13519600
2007-06-14,0.365               ,7075700
2007-06-15,0.362               ,1912700
2007-06-18,0.361               ,643300
2007-06-19,0.361               ,545200
2007-06-20,0.364               ,917000
2007-06-21,0.354               ,6339200
2007-06-22,0.353               ,6056800
2007-06-25,0.34700000000000003 ,5911600
2007-06-26,0.348               ,3529400
2007-06-27,0.34600000000000003 ,210400
2007-06-28,0.34700000000000003 ,1326900
2007-06-29,0.348               ,511200
2007-07-02,0.342               ,2002000
2007-07-03,0.34700000000000003 ,1461100
2007-07-04,0.35                ,1576500
2007-07-05,0.348               ,3413800
2007-07-06,0.349               ,2828300
2007-07-09,0.348               ,3574500
2007-07-10,0.34700000000000003 ,679100
2007-07-11,0.344               ,675500
2007-07-12,0.344               ,2444900
2007-07-13,0.345               ,3838700
2007-07-16,0.344               ,1179800
2007-07-17,0.344               ,1059600
2007-07-18,0.349               ,5374000
2007-07-19,0.35100000000000003 ,5683500
2007-07-20,0.345               ,3401100
2007-07-23,0.348               ,388700
2007-07-24,0.34600000000000003 ,140400
2007-07-25,0.343               ,193500
2007-07-26,0.341               ,699200
2007-07-27,0.34                ,1202700
2007-07-30,0.335               ,810300
2007-07-31,0.338               ,1571800
2007-08-01,0.334               ,667000
2007-08-02,0.342               ,1783800
2007-08-03,0.336               ,2219200
2007-08-06,0.331               ,1820900
2007-08-07,0.329               ,3254400
2007-08-08,0.328               ,906900
2007-08-09,0.328               ,3911700
2007-08-10,0.326               ,642800
2007-08-13,0.33                ,976900
2007-08-14,0.32299999999999995 ,1327000
2007-08-15,0.319               ,6317700
2007-08-16,0.309               ,5852200
2007-08-17,0.304               ,2447500
2007-08-20,0.301               ,1189900
2007-08-21,0.298               ,848700
2007-08-22,0.293               ,3772700
2007-08-23,0.28800000000000003 ,2834200
2007-08-24,0.29100000000000004 ,3896000
2007-08-27,0.316               ,6773100
2007-08-28,0.317               ,5956700
2007-08-29,0.314               ,841100
2007-08-30,0.306               ,3568400
2007-08-31,0.305               ,1411600
2007-09-03,0.31                ,855800
2007-09-04,0.304               ,667800
2007-09-05,0.301               ,804000
2007-09-06,0.307               ,3827100
2007-09-07,0.302               ,1889800
2007-09-10,0.29                ,7149200
2007-09-11,0.28                ,11801200
2007-09-12,0.28                ,2206800
2007-09-13,0.28                ,657300
2007-09-14,0.274               ,6700500
2007-09-17,0.275               ,1299000
2007-09-18,0.271               ,5154400
2007-09-19,0.274               ,1861500
2007-09-20,0.27                ,1457900
2007-09-21,0.3                 ,22660400
2007-09-24,0.295               ,10353700
2007-09-25,0.28300000000000003 ,2741000
2007-09-26,0.29600000000000004 ,5957200
2007-09-27,0.3                 ,9018400
2007-09-28,0.29600000000000004 ,2935600
2007-10-01,0.295               ,742900
2007-10-02,0.289               ,8283500
2007-10-03,0.285               ,2265500
2007-10-04,0.28600000000000003 ,1832400
2007-10-05,0.293               ,2971600
2007-10-08,0.292               ,1519400
2007-10-09,0.294               ,3848400
2007-10-10,0.29                ,1847100
2007-10-11,0.29                ,1331500
2007-10-12,0.29                ,77000
2007-10-15,0.284               ,1184900
2007-10-16,0.284               ,1898100
2007-10-17,0.28300000000000003 ,1521000
2007-10-18,0.279               ,3683300
2007-10-19,0.28                ,3179900
2007-10-22,0.274               ,1619100
2007-10-23,0.282               ,2543900
2007-10-24,0.311               ,78503700
2007-10-25,0.32                ,16167800
2007-10-26,0.313               ,5498200
2007-10-29,0.302               ,6268000
2007-10-30,0.29600000000000004 ,1474800
2007-10-31,0.3                 ,1646000
2007-11-01,0.299               ,2483200
2007-11-02,0.292               ,6262700
2007-11-06,0.292               ,2254800
2007-11-07,0.289               ,1602900
2007-11-08,0.3                 ,17629800
2007-11-09,0.295               ,5745200
2007-11-12,0.293               ,2671800
2007-11-13,0.293               ,1780300
2007-11-14,0.293               ,1015600
2007-11-15,0.295               ,9113900
2007-11-16,0.294               ,1548100
2007-11-19,0.29100000000000004 ,2200900
2007-11-20,0.292               ,747200
2007-11-21,0.29                ,1807500
2007-11-22,0.28                ,6700900
2007-11-23,0.28300000000000003 ,6967600
2007-11-26,0.285               ,4344500
2007-11-27,0.289               ,3255000
2007-11-28,0.29                ,424600
2007-11-29,0.294               ,4400500
2007-11-30,0.29600000000000004 ,3450900
2007-12-03,0.295               ,3827400
2007-12-04,0.293               ,810700
2007-12-05,0.292               ,2822200
2007-12-06,0.297               ,3641900
2007-12-07,0.3                 ,2168400
2007-12-10,0.3                 ,3038700
2007-12-11,0.301               ,4186600
2007-12-12,0.303               ,921100
2007-12-13,0.301               ,4736600
2007-12-14,0.299               ,1581100
2007-12-17,0.297               ,1968900
2007-12-18,0.29600000000000004 ,799300
2007-12-19,0.295               ,2013500
2007-12-20,0.294               ,1131800
2007-12-21,0.295               ,2745700
2007-12-24,0.293               ,1348100
2007-12-25,0.292               ,1785800
2007-12-26,0.292               ,2061800
2007-12-27,0.29100000000000004 ,3178600
2007-12-28,0.289               ,3395300
2008-01-09,0.3                 ,21705200
2008-01-10,0.29600000000000004 ,2495100
2008-01-11,0.295               ,992700
2008-01-14,0.29600000000000004 ,3590800
2008-01-15,0.297               ,6547000
2008-01-16,0.29                ,8285100
2008-01-17,0.29                ,3510400
2008-01-18,0.28800000000000003 ,223600
2008-01-21,0.269               ,11601800
2008-01-22,0.264               ,3355200
2008-01-23,0.245               ,5381500
2008-01-24,0.262               ,1066800
2008-01-25,0.263               ,1656400
2008-01-28,0.256               ,1377500
2008-01-29,0.258               ,650100
2008-01-30,0.25                ,1599700
2008-01-31,0.235               ,6675600
2008-02-01,0.244               ,4578200
2008-02-04,0.245               ,4735400
2008-02-05,0.245               ,8099800
2008-02-06,0.251               ,5469600
2008-02-07,0.25                ,3927300
2008-02-08,0.249               ,5797000
2008-02-11,0.246               ,923300
2008-02-12,0.249               ,3465400
2008-02-13,0.251               ,941500
2008-02-14,0.252               ,1655300
2008-02-15,0.248               ,431100
2008-02-18,0.251               ,446400
2008-02-19,0.25                ,250400
2008-02-20,0.246               ,2668900
2008-02-21,0.244               ,2281800
2008-02-22,0.247               ,1800300
2008-02-26,0.247               ,2006200
2008-02-27,0.247               ,850400
2008-02-28,0.242               ,836100
2008-02-29,0.241               ,2295100
2008-03-03,0.241               ,1534900
2008-03-04,0.241               ,791400
2008-03-05,0.245               ,1205200
2008-03-06,0.247               ,500600
2008-03-07,0.243               ,262500
2008-03-11,0.247               ,1806800
2008-03-12,0.248               ,3524300
2008-03-13,0.254               ,7121100
2008-03-14,0.254               ,6004900
2008-03-17,0.253               ,4289100
2008-03-18,0.253               ,1147300
2008-03-19,0.255               ,1326600
2008-03-20,0.257               ,2166200
2008-03-21,0.295               ,16162100
2008-03-24,0.282               ,4132300
2008-03-25,0.277               ,3497000
2008-03-26,0.28                ,8164300
2008-03-27,0.273               ,2993100
2008-03-28,0.279               ,1052600
2008-03-31,0.285               ,1871700
2008-04-01,0.284               ,574300
2008-04-02,0.279               ,315400
2008-04-03,0.273               ,1357300
2008-04-04,0.275               ,2257700
2008-04-07,0.277               ,25700
2008-04-08,0.278               ,176900
2008-04-09,0.275               ,148900
2008-04-10,0.275               ,1359400
2008-04-11,0.273               ,586600
2008-04-14,0.27                ,601300
2008-04-15,0.274               ,218300
2008-04-16,0.273               ,513800
2008-04-17,0.268               ,1648900
2008-04-18,0.267               ,269200
2008-04-21,0.259               ,1433100
2008-04-22,0.258               ,2775700
2008-04-23,0.26                ,725900
2008-04-24,0.255               ,188300
2008-04-25,0.253               ,744100
2008-04-28,0.253               ,124600
2008-04-29,0.253               ,442500
2008-04-30,0.248               ,537300
2008-05-04,0.247               ,181800
2008-05-05,0.26                ,2610600
2008-05-06,0.266               ,3396600
2008-05-07,0.258               ,4314100
2008-05-12,0.26                ,4891600
2008-05-13,0.254               ,14808000
2008-05-14,0.256               ,3666200
2008-05-15,0.254               ,4322100
2008-05-16,0.258               ,13224500
2008-05-19,0.258               ,3983400
2008-05-20,0.258               ,317400
2008-05-21,0.256               ,420500
2008-05-22,0.25                ,1802300
2008-05-23,0.254               ,172000
2008-05-26,0.251               ,1068500
2008-05-27,0.247               ,176800
2008-05-28,0.252               ,498700
2008-05-29,0.249               ,4112100
2008-05-30,0.249               ,519700
2008-06-02,0.249               ,1229000
2008-06-03,0.248               ,974400
2008-06-04,0.245               ,850000
2008-06-05,0.237               ,10055100
2008-06-06,0.233               ,19250500
2008-06-07,0.234               ,1585300
2008-06-09,0.255               ,41382100
2008-06-10,0.265               ,16365000
2008-06-11,0.297               ,122068000
2008-06-16,0.28300000000000003 ,8029300
2008-06-17,0.284               ,3848200
2008-06-18,0.278               ,7534500
2008-06-19,0.27                ,1220400
2008-06-20,0.264               ,1204500
2008-06-23,0.264               ,2055300
2008-06-24,0.255               ,2881700
