DATE      ,CLOSE_PRICE,VOLUME
2005-02-03,           ,0
2005-02-04,           ,0
2005-02-07,           ,0
2005-02-08,           ,0
2005-02-09,           ,0
2005-02-10,           ,0
2005-02-11,           ,0
2005-02-14,           ,0
2005-02-15,           ,0
2005-02-16,           ,0
2005-02-17,           ,0
2005-02-18,           ,0
2005-02-21,           ,0
2005-02-22,           ,0
2005-02-24,           ,0
2005-02-25,           ,0
2005-02-28,           ,0
2005-03-01,           ,0
2005-03-02,3222.0     ,96
2005-03-03,3850.0     ,31
2005-03-04,3250.0     ,14
2005-03-05,3050.0     ,15
2005-03-09,3050.0     ,2
2005-03-10,3200.0     ,7
2005-03-11,3275.0     ,5
2005-03-14,           ,0
2005-03-15,3400.0     ,12
2005-03-16,3200.0     ,5
2005-03-17,3300.0     ,13
2005-03-18,           ,0
2005-03-21,3400.0     ,4
2005-03-22,3249.99    ,50
2005-03-23,           ,0
2005-03-24,           ,0
2005-03-25,           ,0
2005-03-28,           ,0
2005-03-29,           ,0
2005-03-30,           ,0
2005-03-31,3110.0     ,52
2005-04-01,           ,0
2005-04-04,3150.0     ,106
2005-04-05,           ,0
2005-04-06,3150.0     ,6
2005-04-07,           ,0
2005-04-08,3250.0     ,17
2005-04-11,3220.0     ,74
2005-04-12,           ,0
2005-04-13,           ,0
2005-04-14,3345.0     ,32
2005-04-15,           ,0
2005-04-18,           ,0
2005-04-19,           ,0
2005-04-20,           ,0
2005-04-21,           ,0
2005-04-22,           ,0
2005-04-25,           ,0
2005-04-26,           ,0
2005-04-27,           ,0
2005-04-28,2811.0     ,60
2005-04-29,           ,0
2005-05-03,           ,0
2005-05-04,           ,0
2005-05-05,2970.0     ,14
2005-05-06,           ,0
2005-05-11,           ,0
2005-05-12,           ,0
2005-05-13,3100.0     ,2
2005-05-14,           ,0
2005-05-16,           ,0
2005-05-17,           ,0
2005-05-18,           ,0
2005-05-19,           ,0
2005-05-20,           ,0
2005-05-23,           ,0
2005-05-24,           ,0
2005-05-25,           ,0
2005-05-26,           ,0
2005-05-27,           ,0
2005-05-30,           ,0
2005-05-31,           ,0
2005-06-01,           ,0
2005-06-02,3000.0     ,1
2005-06-03,           ,0
2005-06-06,           ,0
2005-06-07,           ,0
2005-06-08,           ,0
2005-06-09,3000.0     ,2
2005-06-10,           ,0
2005-06-14,           ,0
2005-06-15,           ,0
2005-06-16,           ,0
2005-06-17,           ,0
2005-06-20,3150.0     ,2
2005-06-21,3200.0     ,641
2005-06-22,3200.0     ,743
2005-06-23,3200.0     ,56
2005-06-24,3200.0     ,1
2005-06-27,3230.0     ,52
2005-06-28,           ,0
2005-06-29,           ,0
2005-06-30,3300.0     ,500
2005-07-01,3300.0     ,100
2005-07-04,3500.0     ,240
2005-07-05,3425.0     ,206
2005-07-06,3500.0     ,50
2005-07-07,3500.0     ,109
2005-07-08,3560.0     ,50
2005-07-11,3545.0     ,19
2005-07-12,           ,0
2005-07-13,           ,0
2005-07-14,3500.0     ,102
2005-07-15,3570.0     ,6
2005-07-18,3890.0     ,12
2005-07-19,           ,0
2005-07-20,3799.99    ,34
2005-07-21,3700.0     ,61
2005-07-22,3996.0     ,234
2005-07-25,3799.0     ,426
2005-07-26,3702.0     ,229
2005-07-27,3780.0     ,604
2005-07-28,3770.0     ,239
2005-07-29,3790.0     ,164
2005-08-01,3720.0     ,1219
2005-08-02,3825.0     ,151
2005-08-03,3915.0     ,462
2005-08-04,4118.0     ,824
2005-08-05,4290.0     ,63
2005-08-08,4100.0     ,482
2005-08-09,4000.0     ,525
2005-08-10,4020.0     ,457
2005-08-11,3985.0     ,193
2005-08-12,4100.0     ,119
2005-08-15,4010.01    ,654
2005-08-16,4100.0     ,330
2005-08-17,4100.0     ,597
2005-08-18,4150.0     ,117
2005-08-19,4195.0     ,51
2005-08-22,4385.0     ,1713
2005-08-23,4400.0     ,719
2005-08-24,4408.0     ,1949
2005-08-25,4365.0     ,86
2005-08-26,4400.0     ,660
2005-08-29,4440.0     ,488
2005-08-30,4460.01    ,457
2005-08-31,4465.0     ,608
2005-09-01,4450.0     ,1046
2005-09-02,4341.0     ,583
2005-09-05,4200.0     ,309
2005-09-06,4250.0     ,3
2005-09-07,4100.0     ,288
2005-09-08,4300.0     ,69
2005-09-09,4400.0     ,54
2005-09-12,           ,0
2005-09-13,4418.0     ,625
2005-09-14,4400.0     ,50
2005-09-15,4400.0     ,6
2005-09-16,           ,0
2005-09-19,4200.0     ,340
2005-09-20,4203.01    ,89
2005-09-21,4210.0     ,2
2005-09-22,4495.0     ,1
2005-09-23,4330.0     ,30
2005-09-26,           ,0
2005-09-27,           ,0
2005-09-28,4400.0     ,206
2005-09-29,4450.0     ,189
2005-09-30,4899.0     ,461
2005-10-03,5000.01    ,202
2005-10-04,5000.0     ,598
2005-10-05,4925.01    ,53
2005-10-06,4766.66    ,71
2005-10-07,4600.0     ,197
2005-10-10,4500.0     ,2020
2005-10-11,4302.0     ,574
2005-10-12,4460.0     ,223
2005-10-13,           ,0
2005-10-14,           ,0
2005-10-17,           ,0
2005-10-18,           ,0
2005-10-19,           ,0
2005-10-20,           ,0
2005-10-21,           ,0
2005-10-24,           ,0
2005-10-25,           ,0
2005-10-26,           ,0
2005-10-27,           ,0
2005-10-28,           ,0
2005-10-31,           ,0
2005-11-01,           ,0
2005-11-02,           ,0
2005-11-03,           ,0
2005-11-07,           ,0
2005-11-08,           ,0
2005-11-09,           ,0
2005-11-10,           ,0
2005-11-11,           ,0
2005-11-14,           ,0
2005-11-15,           ,0
2005-11-16,           ,0
2005-11-17,           ,0
2005-11-18,           ,0
2005-11-21,           ,0
2005-11-22,           ,0
2005-11-23,           ,0
2005-11-24,           ,0
2005-11-25,           ,0
2005-11-28,           ,0
2005-11-29,           ,0
2005-11-30,           ,0
2005-12-01,           ,0
2005-12-02,           ,0
2005-12-05,           ,0
2005-12-06,           ,0
2005-12-07,           ,0
2005-12-08,           ,0
2005-12-09,           ,0
2005-12-12,           ,0
2005-12-13,           ,0
2005-12-14,           ,0
2005-12-15,           ,0
2005-12-16,           ,0
2005-12-19,           ,0
2005-12-20,           ,0
2005-12-21,           ,0
2005-12-22,           ,0
2005-12-23,           ,0
2005-12-26,           ,0
2005-12-27,           ,0
2005-12-28,           ,0
2005-12-29,           ,0
2005-12-30,           ,0
2006-01-10,           ,0
2006-01-11,           ,0
2006-01-12,           ,0
2006-01-13,           ,0
2006-01-16,           ,0
2006-01-17,           ,0
2006-01-18,           ,0
2006-01-19,           ,0
2006-01-20,           ,0
2006-01-23,           ,0
2006-01-24,           ,0
2006-01-25,           ,0
2006-01-26,5500.0     ,1962
2006-01-27,5525.0     ,810
2006-01-30,5425.0     ,583
2006-01-31,5351.03    ,61
2006-02-01,5500.0     ,966
2006-02-02,5450.01    ,2643
2006-02-03,5341.01    ,753
2006-02-06,5302.0     ,143
2006-02-07,5375.0     ,888
2006-02-08,5400.0     ,180
2006-02-09,5400.0     ,2076
2006-02-10,5400.0     ,1494
2006-02-13,5555.0     ,6513
2006-02-14,6057.99    ,1710
2006-02-15,6080.0     ,653
2006-02-16,6295.0     ,703
2006-02-17,6600.0     ,6578
2006-02-20,6499.0     ,1530
2006-02-21,6400.0     ,1004
2006-02-22,6300.0     ,2922
2006-02-26,6285.0     ,485
2006-02-27,6295.0     ,3831
2006-02-28,6000.01    ,671
2006-03-01,6248.0     ,76
2006-03-02,6150.0     ,315
2006-03-03,5899.0     ,4470
2006-03-06,5810.0     ,485
2006-03-07,5650.01    ,513
2006-03-09,5585.0     ,699
2006-03-10,5555.0     ,354
2006-03-13,5700.0     ,25
2006-03-14,5500.0     ,469
2006-03-15,5669.0     ,52
2006-03-16,5499.99    ,563
2006-03-17,5930.0     ,1983
2006-03-20,5975.0     ,456
2006-03-21,5868.0     ,126
2006-03-22,6000.0     ,2789
2006-03-23,6030.0     ,252
2006-03-24,5900.0     ,743
2006-03-27,5999.99    ,694
2006-03-28,5900.0     ,419
2006-03-29,5999.99    ,25
2006-03-30,6170.0     ,205
2006-03-31,6375.0     ,3286
2006-04-03,6315.0     ,631
2006-04-04,6350.0     ,19
2006-04-05,6466.0     ,258
2006-04-06,6300.0     ,518
2006-04-07,6415.0     ,1173
2006-04-10,6700.0     ,1976
2006-04-11,6664.0     ,402
2006-04-12,6635.0     ,208
2006-04-13,6700.0     ,573
2006-04-14,6875.0     ,1840
2006-04-17,6890.0     ,341
2006-04-18,6850.0     ,653
2006-04-19,7080.0     ,1287
2006-04-20,7000.0     ,760
2006-04-21,6989.0     ,1456
2006-04-24,6940.91    ,162
2006-04-25,6650.0     ,1223
2006-04-26,6800.0     ,608
2006-04-27,6700.0     ,662
2006-04-28,6550.0     ,100
2006-05-02,6560.0     ,1525
2006-05-03,6650.0     ,40
2006-05-04,6600.0     ,351
2006-05-05,6560.0     ,232
2006-05-06,6500.0     ,600
2006-05-10,6600.0     ,3988
2006-05-11,6600.0     ,879
2006-05-12,6770.0     ,1261
2006-05-15,6495.0     ,1920
2006-05-16,6750.0     ,2002
2006-05-17,6900.0     ,1137
2006-05-18,6751.02    ,2547
2006-05-19,6493.97    ,3167
2006-05-22,5830.0     ,7620
2006-05-23,5900.0     ,2370
2006-05-24,6000.0     ,4136
2006-05-25,6000.0     ,4725
2006-05-26,5850.0     ,3643
2006-05-29,5775.0     ,1974
2006-05-30,5785.0     ,232
2006-05-31,5999.99    ,656
2006-06-01,5850.0     ,1233
2006-06-02,5800.0     ,689
2006-06-05,5700.0     ,559
2006-06-06,5610.0     ,583
2006-06-07,5550.0     ,661
2006-06-08,5495.0     ,1476
2006-06-09,5337.0     ,587
2006-06-13,5298.0     ,1036
2006-06-14,5280.0     ,492
2006-06-15,5250.0     ,749
2006-06-16,5400.0     ,11801
2006-06-19,5420.0     ,462
2006-06-20,5410.0     ,376
2006-06-21,5377.0     ,915
2006-06-22,5300.0     ,2051
2006-06-23,5297.0     ,848
2006-06-26,5180.0     ,125
2006-06-27,5228.0     ,1062
2006-06-28,5249.99    ,232
2006-06-29,5195.0     ,1452
2006-06-30,5170.02    ,4816
2006-07-03,5170.0     ,1014
2006-07-04,5088.0     ,185
