TICKER,TICKER_ALIASES,COMPANY_NAME,REG_NUMBER  ,LOT_SIZE,LAST_PRICE
AKRN  ,AKRN          ,Акрон       ,1-03-00207-A,1       ,
GAZP  ,GAZP          ,ГАЗПРОМ ао  ,1-02-00028-A,10      ,139.95
LKOH  ,LKOH          ,ЛУКОЙЛ      ,1-01-00077-A,1       ,3910.0
MRKC  ,MRKC          ,МРСК Центр  ,1-01-10214-A,1000    ,0.3715
MRSB  ,MRSB          ,МордЭнСб    ,1-01-55055-E,10000   ,
MSRS  ,MSRS          ,МОЭСК       ,1-01-65116-D,1000    ,0.7909999999999999
PMSBP ,PMSBP         ,ПермьЭнС-п  ,2-01-55084-E,10      ,80.6
SNGSP ,SNGSP         ,Сургнфгз-п  ,2-01-00155-A,100     ,29.835
TTLK  ,TTLK          ,Таттел. ао  ,1-02-50049-A,10000   ,0.195
VSMO  ,VSMO          ,ВСМПО-АВСМ  ,1-01-30202-D,1       ,17400.0
